,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.75,0.55,0.81,0.5,0.68,0.67,0.45,0.57,0.67
atlc.csv,0.48,0.58,0.52,0.49,0.95,0.53,0.59,0.45,0.53,0.45
ipfilter.csv,0.49,0.49,0.31,0.4,0.49,0.47,0.53,0.46,0.46,0.59
jmol.csv,0.44,0.41,0.3,0.39,0.41,0.41,0.45,0.36,0.49,0.35
pfaedit.csv,0.0,0.59,0.38,0.43,0.64,0.73,0.87,0.75,0.44,0.7
rockbox.csv,0.0,0.43,0.31,0.41,0.45,0.42,0.43,0.38,0.39,0.35
snakeyaml.csv,0.45,0.5,0.44,0.57,0.64,0.62,0.57,0.39,0.61,0.86
theresa.csv,0.8,0.5,0.35,0.4,0.37,0.54,0.61,0.35,0.51,0.62
trinitycore.csv,0.89,0.5,0.47,0.86,0.8,0.79,0.62,0.4,0.58,0.88
wxcode.csv,0.75,0.64,0.48,0.63,0.9,0.49,0.67,0.59,0.55,0.8
