,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.13,0.55,0.34,0.2,0.56,0.43,0.69,0.37,0.43
atlc.csv,0.84,0.1,0.47,0.66,0.2,0.32,0.21,0.74,0.38,0.56
ipfilter.csv,0.62,0.08,0.73,0.78,0.16,0.31,0.15,0.96,0.38,0.5
jmol.csv,0.8,0.11,0.76,0.82,0.22,0.35,0.22,0.84,0.36,0.6
pfaedit.csv,0.0,0.2,0.81,0.78,0.27,0.34,0.36,0.16,0.4,0.41
rockbox.csv,0.05,0.23,0.74,0.67,0.29,0.29,0.19,0.62,0.45,0.67
snakeyaml.csv,0.76,0.35,0.6,0.54,0.46,0.31,0.29,0.54,0.43,0.23
theresa.csv,0.31,0.32,0.75,0.65,0.36,0.33,0.32,0.57,0.38,0.44
trinitycore.csv,0.16,0.19,0.62,0.41,0.12,0.14,0.24,0.52,0.49,0.3
wxcode.csv,0.18,0.29,0.56,0.44,0.32,0.41,0.5,0.54,0.38,0.25
