,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.08,0.79,1.0,0.12,0.5,0.29,0.9,0.37,0.67
atlc.csv,0.83,0.05,0.5,0.78,0.15,0.2,0.12,0.82,0.27,0.4
ipfilter.csv,0.53,0.04,0.6,0.8,0.09,0.19,0.08,0.94,0.24,0.38
jmol.csv,0.8,0.06,0.61,0.89,0.13,0.21,0.12,0.72,0.27,0.48
pfaedit.csv,0.0,0.12,0.87,0.81,0.19,0.29,0.27,1.0,0.31,0.6
rockbox.csv,1.0,0.13,0.71,0.81,0.19,0.22,0.11,0.75,0.33,0.61
snakeyaml.csv,0.85,0.21,0.67,0.87,0.36,0.25,0.19,0.61,0.42,0.43
theresa.csv,0.8,0.19,0.77,0.93,0.24,0.3,0.22,0.71,0.35,0.75
trinitycore.csv,0.44,0.11,0.7,0.76,0.4,0.12,0.15,0.6,0.39,0.5
wxcode.csv,1.0,0.18,0.77,0.97,0.6,0.32,0.33,1.0,0.39,0.6
