,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.38,0.49,0.44,0.52,0.53,0.53,0.62,0.51,0.5,0.4,0.6,0.54,0.56,0.47,0.78,0.38,0.58,0.39,0.57,0.36
galaxium.csv,0.36,0.38,0.46,0.47,0.4,0.46,0.36,0.47,0.45,0.35,0.46,0.36,0.5,0.41,0.59,0.4,0.32,0.33,0.43,0.89
itext.csv,0.34,0.38,0.38,0.46,0.38,0.42,0.32,0.39,0.39,0.35,0.39,0.35,0.38,0.34,0.55,0.32,0.34,0.33,0.41,0.32
jahshakafx.csv,0.34,0.42,0.4,0.39,0.44,0.61,0.5,0.37,0.41,0.32,0.55,0.36,0.48,0.43,0.44,0.39,0.37,0.41,0.43,0.67
kolmafia.csv,0.36,0.4,0.39,0.53,0.44,0.52,0.36,0.39,0.42,0.38,0.41,0.35,0.37,0.37,0.34,0.35,0.34,0.38,0.5,0.49
mecat.csv,0.5,0.61,0.98,0.65,0.75,0.89,0.5,0.5,0.67,0.76,0.97,0.5,0.0,0.67,0.97,0.8,0.9,0.67,0.75,0.67
mp-rechnungs-und-kundenverwaltung.csv,0.36,0.49,0.48,0.53,0.86,0.89,0.53,0.63,0.67,0.45,0.78,0.52,0.89,0.73,0.98,0.8,0.4,0.59,0.6,0.92
mptvseries.csv,0.41,0.44,0.62,0.65,0.44,0.78,0.55,0.89,0.5,0.54,0.5,0.48,0.54,0.88,0.6,0.62,0.48,0.88,0.69,0.62
novembre.csv,0.44,0.52,0.91,0.81,0.88,0.65,0.56,0.75,0.0,0.46,0.51,0.54,0.94,0.94,0.98,0.57,0.43,0.48,0.58,0.53
ns-3.csv,0.43,0.41,0.91,0.73,0.46,0.42,0.33,0.42,0.58,0.51,0.43,0.4,0.33,0.42,0.48,0.5,0.34,0.31,0.44,0.47
nullc.csv,0.5,0.48,0.4,0.53,0.5,0.56,0.44,0.45,0.41,0.47,0.63,0.39,0.56,0.83,0.56,0.37,0.42,0.43,0.6,0.59
pixel-commandos.csv,0.86,0.64,0.95,0.71,0.88,0.97,0.88,0.93,0.75,0.63,0.99,0.88,0.92,0.0,0.97,0.85,0.75,0.0,0.9,0.67
plee-the-bear.csv,0.35,0.56,0.51,0.88,0.44,0.43,0.35,0.31,0.48,0.43,0.41,0.33,0.32,0.41,0.3,0.35,0.35,0.44,0.38,0.39
quantlib.csv,0.48,0.48,0.4,0.0,0.0,0.47,0.0,0.0,0.35,0.42,0.41,0.55,0.67,0.88,0.58,0.0,0.0,0.35,0.0,0.56
reaper-ecad.csv,0.54,1.0,0.99,0.63,0.58,0.83,0.67,0.67,0.75,0.75,0.99,0.0,0.67,0.0,0.67,0.86,0.5,0.72,0.5,0.0
sbml.csv,0.4,0.4,0.45,0.49,0.41,0.42,0.33,0.4,0.67,0.36,0.4,0.36,0.41,0.41,0.35,0.36,0.31,0.43,0.38,0.47
smartgwt.csv,0.38,0.46,0.47,0.92,0.48,0.43,0.39,0.47,0.4,0.4,0.56,0.62,0.57,0.89,0.35,0.33,0.76,0.47,0.41,0.43
unladen-swallow.csv,0.97,0.57,0.65,0.9,0.88,0.5,0.36,0.6,0.52,0.8,0.72,0.45,0.53,0.41,0.96,0.56,0.59,0.46,0.48,0.74
vienna-add-in.csv,0.53,0.58,0.83,0.83,0.57,0.96,0.92,0.59,0.82,0.62,0.89,0.45,0.45,0.93,0.59,0.39,0.55,0.53,0.62,0.67
wow-qrsk.csv,0.97,0.67,0.49,0.48,0.88,0.96,0.0,0.37,0.46,0.89,0.61,0.39,0.64,0.56,0.96,0.92,0.44,0.35,0.9,0.0
