,f1,g,recall,precision,pf,cdom,bellwether
1,0.5700000000000001,0.6699999999999999,0.505,0.5,0.48,7.0,chrysalis.csv
10,0.55,0.79,0.5,0.6200000000000001,0.6200000000000001,1.0,atunes.csv
13,0.53,0.6,0.54,0.49,0.48,9.0,tradelink.csv
27,0.805,0.695,0.455,0.455,0.445,5.0,google-caja.csv
34,0.66,0.57,0.5,0.47,0.47,16.0,boost.csv
52,0.96,0.535,0.49,0.49,0.485,17.0,rectracker.csv
24,0.8200000000000001,0.605,0.565,0.565,0.605,1.0,magicwars.csv
25,0.61,0.44,0.425,0.45,0.455,3.0,turbotrader-bos.csv
26,0.78,0.6799999999999999,0.58,0.565,0.58,0.0,xmemcached.csv
