,id,expected,max_bell,avge,median,bellwether,size
57,2,1,2,1.5,0.875,mclient-mume.csv,2
52,3,3,3,2.0,0.52,jam-daq.csv,9
50,4,4,4,1.75,0.515,icescrum.csv,12
58,5,1,1,0.5,0.6,matrex.csv,2
24,6,4,7,3.85,0.67,dsworkbench.csv,13
19,7,4,5,3.33,0.5349999999999999,jmoney.csv,12
28,8,4,3,2.75,0.36,piccolo2d.csv,12
17,9,3,4,3.25,0.6399999999999999,gephex.csv,8
18,11,0,0,0.0,0.1,atunes.csv,1
53,12,1,1,0.5,0.45499999999999996,fluent-nhibernate.csv,4
59,14,2,2,1.4,0.58,gnome-jabber.csv,5
51,15,1,2,1.0,0.71,unflobtactical.csv,3
21,16,1,0,0.33,0.4,jnode.csv,3
26,17,2,3,2.33,0.6299999999999999,playerstage.csv,6
16,18,5,4,3.21,0.54,lufa-lib.csv,14
27,19,1,2,1.25,0.65,qmmp.csv,4
15,20,4,7,2.92,0.67,metacosm.csv,12
29,21,3,5,3.3,0.645,jfreereport.csv,10
60,22,4,4,4.0,0.45,acegisecurity.csv,13
49,23,6,5,4.74,0.365,dataobjectsdotnet.csv,20
25,28,2,1,0.4,0.5,encog-java.csv,5
20,29,3,4,2.8,0.5449999999999999,geogebra.csv,10
39,30,1,1,1.0,0.52,bacnet.csv,3
34,31,5,4,3.75,0.54,jmri.csv,16
6,32,6,9,6.89,0.65,retromenu.csv,19
14,33,3,4,3.0,0.65,x-ray-mule.csv,9
7,35,4,8,4.15,0.67,quark.csv,13
33,36,3,5,3.1,0.6699999999999999,ftm.csv,10
40,37,4,7,3.23,0.67,omseek.csv,13
32,38,7,13,7.85,0.815,reaper-ecad.csv,20
41,39,4,6,6.09,0.88,sepgsql.csv,11
55,40,4,4,3.08,0.52,k3d.csv,13
46,41,3,4,1.6,0.56,uwom.csv,10
22,42,3,0,1.0,0.33999999999999997,badtrinitycore.csv,8
31,43,4,7,4.23,0.67,projecteqemu.csv,13
30,44,2,3,2.29,0.56,genoviz.csv,7
23,45,5,4,3.14,0.425,nuttx.csv,14
45,46,3,4,3.0,0.5549999999999999,go.csv,10
56,47,3,2,2.0,0.495,acdk.csv,8
47,48,2,2,1.5,0.425,zoolib.csv,6
54,49,2,3,1.86,0.62,kftpgrabber.csv,7
3,50,5,7,3.53,0.61,biodwh.csv,15
10,51,6,10,8.16,0.72,autat.csv,19
38,53,0,1,1.0,0.74,xcf.csv,1
37,54,3,1,1.33,0.49,powerfolder-.csv,10
42,55,5,8,4.29,0.67,theresa.csv,15
9,56,1,2,1.33,0.8,rectracker.csv,3
5,57,6,3,2.37,0.33,poormans.csv,20
11,58,4,2,2.36,0.44,optalgtoolkit.csv,11
1,59,1,0,0.0,0.33,jrdf.csv,2
13,60,6,7,6.39,0.5,opennms.csv,20
0,61,3,3,2.3,0.5349999999999999,migen.csv,10
36,62,0,1,1.0,0.68,silvertree.csv,1
43,63,7,5,3.8,0.445,adobe-source.csv,20
44,64,3,2,2.6,0.535,stajistics.csv,10
35,65,2,5,3.86,0.86,rodin-b-sharp.csv,7
2,66,5,4,3.07,0.5349999999999999,brlcad.csv,14
12,67,4,9,4.82,0.79,alembik.csv,11
4,68,7,11,6.05,0.6799999999999999,customsagetv.csv,20
8,69,5,7,6.14,0.655,openwbem.csv,14
48,70,2,1,1.17,0.4,l2j.csv,7
