,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.71,0.29,0.13,0.21,0.52,0.59,0.26,0.0,0.3,0.0,0.13
ivef-sdk.csv,0.61,0.71,1.0,0.5,0.42,0.4,0.37,0.72,0.65,0.0,0.14
jaolt.csv,0.66,0.65,0.21,0.53,0.64,0.4,0.48,0.65,0.5,0.53,0.42
jmule.csv,0.56,0.66,0.09,0.46,0.67,0.49,0.78,0.63,0.26,0.54,0.87
jstock.csv,0.52,0.69,0.18,0.6,0.48,0.53,0.83,0.63,0.21,0.69,0.05
lphant.csv,0.71,0.69,0.11,0.62,0.66,0.67,0.63,0.63,0.69,0.55,0.6
novembre.csv,0.34,0.62,0.04,0.42,0.54,0.47,0.46,0.21,0.25,0.17,0.57
oorexx.csv,0.41,0.0,0.0,0.0,0.36,0.27,0.43,0.0,0.31,0.73,0.67
pi-qmc.csv,0.53,0.67,0.11,0.27,0.27,0.5,0.53,0.79,0.34,0.5,0.67
qedo.csv,0.34,0.0,0.05,0.13,0.21,0.17,0.33,0.11,0.77,0.26,0.33
yaprm.csv,0.73,0.66,0.15,0.69,0.18,0.22,0.57,0.55,0.63,0.61,0.54
