,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.31,0.92,0.97,0.95,0.76,0.61,0.93,1.0,0.91,1.0,0.97
ivef-sdk.csv,0.69,0.5,0.0,0.82,0.17,0.27,0.67,0.3,0.54,0.0,0.24
jaolt.csv,0.62,0.4,0.07,0.63,0.41,0.24,0.42,0.32,0.64,0.6,0.24
jmule.csv,0.62,0.52,0.07,0.71,0.55,0.82,0.4,0.41,0.51,0.52,0.17
jstock.csv,0.41,0.55,0.17,0.61,0.52,0.3,0.23,0.16,0.16,0.56,0.07
lphant.csv,0.5,0.45,0.23,0.61,0.55,0.18,0.63,0.16,0.57,0.36,0.48
novembre.csv,0.28,0.3,0.07,0.32,0.34,0.39,0.56,0.05,0.56,0.2,0.45
oorexx.csv,0.31,0.0,0.0,0.0,0.41,0.09,0.14,0.0,0.18,0.32,0.45
pi-qmc.csv,0.34,0.65,0.8,0.34,0.93,0.82,0.49,0.09,0.51,0.48,0.62
qedo.csv,0.22,0.15,0.0,0.0,0.28,0.15,0.51,0.09,0.24,0.28,0.31
yaprm.csv,0.38,0.38,0.07,0.29,0.1,0.03,0.67,0.11,0.51,0.56,0.72
