,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.9,0.68,0.92,0.0,0.59,0.89,0.81,0.52,0.71,0.55
ibatisdb.csv,0.9,0.44,0.58,0.45,0.74,0.8,0.79,0.42,0.59,0.59
jmol.csv,0.55,0.41,0.37,0.47,0.46,0.4,0.56,0.46,0.42,0.42
liferea.csv,0.5,0.52,0.43,0.48,0.45,0.36,0.89,0.56,0.57,0.83
log4net.csv,0.67,0.0,0.72,0.36,0.95,0.92,0.53,0.57,0.97,0.79
pclasses.csv,0.72,0.75,0.8,0.75,0.79,0.95,0.75,0.67,0.69,0.71
psrchive.csv,0.73,0.9,0.56,0.38,0.66,0.94,0.62,0.47,0.65,0.64
re2c.csv,0.69,0.86,0.53,0.5,0.9,0.97,0.4,0.69,0.87,0.49
tycho.csv,0.92,0.89,0.95,0.57,0.96,0.88,0.51,0.89,0.96,0.73
xfce.csv,0.5,0.34,0.38,0.35,0.41,0.39,0.58,0.38,0.45,0.5
