,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,v8.csv
bochs.csv,0.85,0.6,0.65,0.5,0.0,0.85
encog-java.csv,0.01,0.04,0.69,0.02,0.4,0.08
h2database.csv,0.57,0.0,0.1,0.08,0.02,0.23
jaql.csv,0.39,0.29,0.38,0.03,0.83,0.31
raven-monitoring.csv,0.15,0.49,0.0,0.63,0.77,0.46
v8.csv,0.42,0.37,0.25,0.27,0.99,0.08
