,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.65,0.43,0.5,0.5,0.9,1.02,0.58,0.6,0.43,0.62,0.71,0.38,0.56,0.01
bibedt.csv,0.63,0.28,0.79,0.66,0.95,0.64,0.71,0.1,0.81,0.85,0.95,0.72,0.72,0.54
brlcad.csv,0.05,0.84,0.95,0.99,0.95,1.0,0.75,0.7,0.93,0.85,1.0,0.92,0.76,1.05
co-ode-owl-plugins.csv,0.95,1.01,0.88,0.65,0.06,0.85,0.93,1.0,0.97,0.55,0.97,0.86,0.98,0.86
firebreath.csv,0.77,0.47,0.07,0.84,0.92,0.44,0.97,0.7,0.68,0.85,0.95,0.58,0.75,0.93
fltk.csv,0.73,0.51,0.62,0.01,0.81,0.82,0.74,0.63,0.45,0.45,0.88,0.63,0.68,0.53
glas.csv,0.66,0.96,0.8,0.93,0.84,0.86,0.73,0.88,0.78,1.09,0.08,1.02,0.82,0.71
gretl.csv,0.91,0.84,0.75,0.58,0.84,0.84,0.01,0.81,0.72,0.96,0.88,0.79,0.89,0.88
konversation.csv,0.88,0.17,0.97,0.73,0.94,0.85,0.88,1.0,0.84,1.0,1.0,1.01,0.8,0.69
micomt.csv,0.97,0.84,0.78,0.79,0.74,0.84,0.92,0.8,0.75,0.08,1.0,0.86,0.63,1.0
openxava.csv,0.85,0.45,0.8,0.77,0.9,0.06,0.71,0.58,0.9,0.81,0.75,0.44,0.79,0.43
sumatrapdf.csv,0.91,0.41,0.74,0.48,0.69,0.65,0.75,0.8,0.03,0.77,0.72,0.38,0.62,0.64
tweetsharp.csv,0.72,0.68,0.69,0.73,0.42,0.83,0.87,0.45,0.78,0.79,0.85,0.68,0.02,0.64
wxcode.csv,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.0,0.95,1.0
