,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,2.0,11.0,1.0,1.0,13.0,33.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
bibedt.csv,0.0,1.0,2.0,1.0,5.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
brlcad.csv,0.0,25.0,3.0,3.0,10.0,33.0,1.0,2.0,0.0,3.0,6.0,3.0,0.0,4.0
co-ode-owl-plugins.csv,0.0,101.0,5.0,0.0,0.0,15.0,0.0,50.0,0.0,3.0,8.0,2.0,0.0,1.0
firebreath.csv,3.0,5.0,0.0,0.0,12.0,3.0,2.0,5.0,1.0,8.0,1.0,1.0,0.0,3.0
fltk.csv,4.0,0.0,0.0,0.0,1.0,21.0,2.0,2.0,0.0,2.0,5.0,14.0,0.0,1.0
glas.csv,0.0,19.0,0.0,6.0,6.0,1.0,1.0,5.0,1.0,71.0,0.0,82.0,1.0,19.0
gretl.csv,4.0,13.0,4.0,2.0,7.0,27.0,0.0,0.0,0.0,3.0,3.0,44.0,0.0,3.0
konversation.csv,5.0,0.0,2.0,0.0,2.0,50.0,1.0,50.0,0.0,71.0,91.0,82.0,0.0,0.0
micomt.csv,0.0,2.0,8.0,1.0,13.0,33.0,0.0,0.0,0.0,0.0,91.0,2.0,0.0,131.0
openxava.csv,0.0,11.0,3.0,8.0,12.0,0.0,0.0,5.0,0.0,9.0,1.0,20.0,0.0,0.0
sumatrapdf.csv,5.0,6.0,3.0,0.0,5.0,55.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0
tweetsharp.csv,4.0,7.0,10.0,2.0,5.0,33.0,2.0,0.0,0.0,3.0,6.0,2.0,0.0,2.0
wxcode.csv,1509.0,101.0,155.0,4.0,109.0,147.0,173.0,50.0,1.0,71.0,91.0,0.0,0.0,131.0
