,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.36,0.06,0.05,0.47,0.22,0.54,0.14,0.02,0.38,0.54,0.04,0.28,0.13,0.58
bdbbasic.csv,0.46,0.19,0.06,0.5,0.36,0.57,0.08,0.15,0.71,0.81,0.41,0.71,0.48,0.59
echongl.csv,0.43,0.32,0.08,0.57,0.39,0.42,0.4,0.59,0.55,0.88,0.48,0.61,0.65,0.48
etherboot.csv,0.12,0.62,0.0,0.05,0.49,0.05,0.0,0.75,0.47,0.0,0.52,0.0,0.0,0.62
ffigo.csv,0.3,0.27,0.11,0.21,0.35,0.46,0.04,0.08,0.36,0.5,0.0,0.78,0.01,0.0
freebios.csv,0.31,0.2,0.04,0.55,0.35,0.15,0.76,0.5,0.27,0.61,0.38,0.58,0.27,0.33
gebr.csv,0.43,0.23,0.05,0.67,0.4,0.5,0.48,0.75,0.42,0.84,0.48,0.77,0.74,0.62
gnukeda.csv,0.5,0.26,0.04,0.73,0.29,0.57,0.35,0.55,0.19,0.29,0.29,0.32,0.15,0.62
gstreamer.csv,0.5,0.21,0.04,0.62,0.36,0.47,0.5,0.59,0.47,0.77,0.41,0.67,0.73,0.64
jnode.csv,0.16,0.23,0.27,0.43,0.12,0.0,0.2,0.47,0.26,0.16,0.09,0.13,0.06,0.14
metacosm.csv,0.34,0.24,0.08,0.67,0.17,0.45,0.07,0.65,0.43,0.45,0.33,0.5,0.47,0.69
openmeetings.csv,0.55,0.63,0.11,0.4,0.42,0.52,0.18,0.58,0.39,0.73,0.48,0.66,0.62,0.59
pgui.csv,0.37,0.25,0.0,0.58,0.47,0.43,0.07,0.73,0.42,0.06,0.56,0.03,0.0,0.64
wxcrp.csv,0.55,0.26,0.08,0.55,0.42,0.48,0.49,0.83,0.47,0.81,0.45,0.68,0.72,0.59
