,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.69,0.95,0.86,0.67,0.83,0.5,0.92,0.99,0.74,0.74,0.98,0.84,0.93,0.68
bdbbasic.csv,0.72,0.76,0.8,0.68,0.68,0.57,0.96,0.92,0.26,0.98,0.66,0.49,0.68,0.73
echongl.csv,0.61,0.69,0.91,0.66,0.77,0.66,0.74,0.58,0.48,0.23,0.62,0.6,0.64,0.81
etherboot.csv,0.94,0.41,1.0,0.97,0.54,0.97,1.0,0.89,0.64,1.0,0.49,1.0,1.0,1.0
ffigo.csv,0.78,0.78,0.57,0.88,0.68,0.76,0.98,0.96,0.7,0.69,1.0,0.43,0.99,1.0
freebios.csv,0.85,0.79,0.86,0.77,0.68,0.91,0.36,0.99,0.87,0.56,0.66,0.81,0.9,0.78
gebr.csv,0.99,0.94,0.91,0.6,0.67,0.93,0.95,0.42,0.85,0.97,0.75,0.71,0.61,1.0
gnukeda.csv,0.74,0.63,0.88,0.4,0.79,0.45,0.84,0.65,0.86,1.04,0.77,0.82,0.92,0.91
gstreamer.csv,0.68,0.97,0.92,0.56,0.78,0.84,0.92,0.58,0.76,0.89,0.77,0.8,0.42,1.0
jnode.csv,0.9,0.7,0.26,0.72,0.92,1.0,0.88,0.85,0.81,0.92,0.95,0.94,0.97,0.93
metacosm.csv,0.75,0.83,0.69,0.48,0.88,0.64,0.98,0.52,0.61,0.95,0.75,0.66,0.68,0.41
openmeetings.csv,0.49,0.18,0.56,0.74,0.7,0.53,0.9,0.59,0.66,0.81,0.6,0.5,0.53,0.58
pgui.csv,0.7,0.91,1.0,0.58,0.73,0.73,0.96,0.57,0.78,0.97,0.43,0.99,1.0,1.0
wxcrp.csv,0.46,0.89,0.98,0.84,1.0,0.67,0.84,1.0,0.65,0.92,0.86,0.62,0.56,0.97
