,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,517.0,56.0,98.5,192.0,184.0,271.5,154.0,97.5,98.5,98.5,902.0,0.0,86.5,96.5
avifile.csv,411.5,193.0,98.5,535.5,94.5,357.5,197.0,443.5,411.5,184.0,386.0,290.5,197.5,150.0
delphilhlplib.csv,929.0,85.5,191.0,94.5,193.0,97.5,459.5,90.5,84.5,93.5,258.5,0.0,96.5,90.5
fluidium.csv,3.5,370.5,96.5,184.0,35.5,82.5,366.0,0.0,84.5,55.5,36.5,189.0,84.5,274.0
gnome-jabber.csv,1627.0,195.0,98.5,94.5,189.0,82.5,279.5,97.5,724.0,191.0,386.0,196.0,195.5,96.5
ipfilter.csv,1895.0,195.0,98.5,192.0,193.0,97.5,197.0,97.5,527.0,188.0,386.0,294.5,197.5,96.5
jparsec.csv,2524.5,195.0,98.5,192.0,193.0,196.0,197.0,97.5,812.5,98.5,386.0,294.5,197.5,96.5
loki-lib.csv,1179.0,195.0,98.5,94.5,193.0,196.0,154.0,97.5,98.5,286.5,93.5,294.5,96.5,96.5
mumble.csv,17.5,195.0,194.0,192.0,193.0,1594.0,0.0,97.5,98.5,290.5,354.0,294.5,96.5,0.0
opengs.csv,718.0,193.0,98.5,94.5,94.5,82.5,232.5,97.5,96.5,98.5,263.5,97.5,90.5,93.5
owfs.csv,1790.5,94.5,194.0,94.5,193.0,295.0,552.0,97.5,98.5,98.5,386.0,196.0,96.5,96.5
rectracker.csv,2662.0,195.0,98.5,94.5,193.0,295.0,367.0,97.5,98.5,98.5,386.0,294.5,98.5,96.5
rockbox.csv,1435.0,94.5,98.5,94.5,189.0,295.0,154.0,97.5,98.5,98.5,189.0,194.0,96.5,96.5
zealos.csv,24.5,49.0,98.5,94.5,40.5,0.0,0.0,82.5,330.5,80.5,430.5,90.5,0.0,0.0
