,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.48,0.62,0.08,0.98,0.3,0.31,0.54,0.25,0.26,0.05
firebird.csv,0.97,0.76,0.12,0.45,0.35,0.38,0.49,0.29,0.48,0.1
fmri-dmt.csv,0.56,0.0,0.0,0.12,0.5,1.0,0.67,0.0,0.0,1.0
htmlunit.csv,0.79,0.62,0.15,0.33,0.31,1.0,0.46,0.25,0.36,0.08
monetdb.csv,0.6,0.71,0.24,0.47,0.33,0.69,0.61,0.3,1.0,0.04
ontomorphtab.csv,0.57,0.97,0.07,0.45,0.44,0.43,0.54,0.31,0.37,0.12
smarttag.csv,0.56,0.8,0.03,0.44,0.45,0.44,0.63,1.0,0.4,0.18
taokgame.csv,0.7,0.62,1.0,0.43,0.5,0.25,0.56,0.29,0.7,0.33
webdriver.csv,0.57,0.69,0.17,0.42,0.36,0.41,1.0,0.22,0.56,0.14
xbplayer.csv,0.72,0.81,0.14,0.51,1.0,0.57,0.69,0.38,0.62,0.17
