,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.42,0.56,0.39,0.62,0.45,0.39,0.54,0.75,0.44,0.55
firebird.csv,0.49,0.41,0.4,0.49,0.44,0.35,0.4,0.48,0.43,0.33
fmri-dmt.csv,0.94,0.0,0.83,0.94,0.75,0.5,0.67,0.0,0.0,0.83
htmlunit.csv,0.97,0.46,0.92,0.54,0.63,0.59,0.52,0.41,0.57,0.34
monetdb.csv,0.48,0.64,0.65,0.55,0.62,0.66,0.54,0.46,0.59,0.58
ontomorphtab.csv,0.6,0.44,0.39,0.54,0.39,0.37,0.42,0.4,0.5,0.35
smarttag.csv,0.5,0.44,0.5,0.59,0.52,0.47,0.41,0.79,0.49,0.65
taokgame.csv,0.86,0.88,0.9,0.98,0.71,0.88,0.94,0.65,0.95,0.67
webdriver.csv,0.48,0.62,0.57,0.6,0.64,0.62,0.51,0.5,0.59,0.62
xbplayer.csv,0.67,0.5,0.57,0.52,0.64,0.56,0.49,0.62,0.76,0.83
