,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.23,0.33,0.73,0.43
hibernate.csv,0.3,0.35,0.68,0.52
lamp.csv,0.37,0.34,0.68,0.44
thout.csv,0.17,0.54,0.64,0.4
