,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.94,0.5,0.65,0.26,0.68,0.77,0.58,0.85,0.97,0.62,0.52,0.79,0.54,0.97
elateportal.csv,1.25,0.56,0.59,0.41,0.67,0.83,0.69,0.66,0.76,0.88,0.74,0.87,0.88,0.05
gdis.csv,0.5,0.56,0.81,0.44,0.69,0.77,0.57,0.58,0.63,0.6,0.18,0.82,0.48,0.92
gzigzag.csv,0.41,0.64,0.58,0.67,0.76,0.48,0.88,0.82,0.6,0.42,0.74,0.88,0.65,0.77
icescrum.csv,0.33,0.46,0.61,0.4,0.71,0.5,0.88,0.85,0.74,0.68,0.51,0.73,0.22,0.99
jguard.csv,1.0,0.96,0.75,0.64,0.48,0.98,1.0,0.99,0.81,0.87,1.0,0.81,0.97,1.0
jitterbit.csv,0.2,0.37,0.51,0.34,0.67,0.4,0.63,0.73,0.64,0.58,0.46,0.99,0.84,1.01
jython.csv,0.2,0.81,0.72,0.89,0.65,0.8,0.94,0.93,0.79,0.86,0.84,0.84,0.67,0.99
personalaccess.csv,0.93,0.57,0.68,0.57,0.69,0.54,0.79,0.84,0.33,0.88,0.74,0.7,0.57,0.95
ppcboot.csv,0.21,0.87,0.74,0.6,0.67,0.94,0.5,0.81,0.55,0.49,0.52,0.9,0.66,0.87
repositorium.csv,0.96,0.67,0.81,0.97,0.9,0.84,0.98,0.23,1.0,0.79,0.86,0.68,0.92,0.95
unbvision.csv,0.41,0.53,0.73,0.73,0.81,0.34,0.91,0.76,0.68,0.88,0.86,0.82,0.95,0.95
wxstudio.csv,1.15,0.95,0.79,1.05,0.72,1.0,0.87,0.51,0.77,1.0,1.0,0.35,0.81,0.67
xbg.csv,0.87,0.88,0.84,0.97,0.84,0.71,0.6,0.91,0.98,0.37,0.99,0.96,0.84,0.99
