,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.67,0.28,0.35,0.46,0.43,0.45,0.17,0.41,0.97,0.47,0.0,0.5,0.46,0.2,0.06,0.3
beast-mcmc.csv,0.93,0.37,0.32,0.24,0.35,0.38,0.56,0.19,0.51,0.4,0.13,0.34,0.37,0.16,0.36,0.78
bigdata.csv,0.48,0.41,0.62,0.13,0.47,0.36,0.39,0.0,0.05,0.39,0.54,0.55,0.99,0.07,0.57,0.3
cuberok.csv,0.5,0.41,0.37,0.5,0.59,0.47,0.96,0.28,0.37,0.48,0.35,0.4,0.54,0.23,0.36,0.63
exist.csv,0.6,0.47,0.5,0.45,0.35,0.58,0.21,0.45,0.43,0.97,0.29,0.52,0.47,0.32,0.17,0.6
icescrum.csv,0.63,0.4,0.36,0.52,0.43,0.47,0.17,0.31,0.28,0.55,0.21,0.47,0.52,0.23,0.11,1.0
jbasic.csv,0.27,0.17,0.41,0.39,0.07,0.21,0.41,0.97,0.28,0.13,0.05,0.16,0.24,0.04,0.17,0.19
jrefactory.csv,0.48,1.0,0.37,0.41,0.59,0.44,0.11,0.22,0.48,0.4,0.35,0.51,0.38,0.64,0.11,0.66
jsecurity.csv,0.24,0.28,0.92,0.36,0.22,0.27,0.25,0.19,0.19,0.2,0.45,0.27,0.26,0.24,0.06,0.25
libopenmetaverse.csv,0.32,0.41,0.55,0.21,1.0,0.39,0.24,0.13,0.31,0.53,0.4,0.55,0.53,0.48,0.36,0.64
mobicents.csv,0.43,0.6,0.5,0.52,0.45,0.98,0.11,0.67,0.35,0.59,0.05,0.54,0.5,0.2,0.11,0.72
opendvr.csv,0.57,0.52,0.36,0.61,0.47,0.51,0.41,0.66,0.4,0.51,0.53,0.69,0.55,0.07,0.93,0.71
power-architect.csv,0.55,0.59,0.57,0.52,0.51,0.59,0.65,0.36,0.67,0.65,0.45,1.0,0.61,0.13,0.67,0.0
sidekar.csv,0.59,0.43,0.6,0.98,0.5,0.56,0.61,0.53,0.57,0.62,0.61,0.6,0.54,0.55,0.39,0.55
wheat.csv,0.52,0.17,0.25,0.34,0.36,0.42,0.66,0.07,0.51,0.34,0.96,0.4,0.29,0.26,0.69,0.69
wsmt.csv,0.2,0.34,0.06,0.07,0.32,0.18,0.11,0.24,0.23,0.19,0.21,0.16,0.23,0.93,0.35,0.0
