,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.43,0.39,0.3,0.16,0.26,0.38,0.09,0.23,0.0,0.13,0.04,0.57,0.3,0.37,0.04,0.34
beast-mcmc.csv,0.0,0.26,0.15,0.03,0.37,0.19,0.4,0.09,0.62,0.19,0.17,0.43,0.27,0.6,0.26,0.25
bigdata.csv,0.24,0.24,0.4,0.97,0.8,0.2,0.37,1.0,0.0,0.26,0.46,0.64,0.03,0.23,0.77,0.12
cuberok.csv,0.16,0.34,0.18,0.11,0.63,0.31,0.0,0.12,0.1,0.29,0.46,0.07,0.32,0.43,0.23,0.5
exist.csv,0.42,0.63,0.22,0.21,0.29,0.33,0.37,0.26,0.38,0.01,0.33,0.5,0.43,0.6,0.13,0.5
icescrum.csv,0.13,0.53,0.15,0.11,0.26,0.31,0.09,0.15,0.17,0.42,0.12,0.5,0.38,0.4,0.21,0.0
jbasic.csv,0.09,0.21,0.18,0.11,0.06,0.08,0.17,0.02,0.19,0.06,0.0,0.0,0.16,0.2,0.13,0.03
jrefactory.csv,0.3,0.0,0.22,0.39,0.37,0.38,0.06,0.15,0.64,0.29,0.38,0.43,0.22,0.5,0.26,0.41
jsecurity.csv,0.21,0.16,0.0,0.42,0.31,0.26,0.6,0.12,0.1,0.2,0.46,0.36,0.27,0.17,0.21,0.12
libopenmetaverse.csv,0.91,0.87,0.75,0.95,0.0,0.88,0.94,0.97,0.91,0.79,0.88,0.79,0.81,0.83,0.89,0.59
mobicents.csv,0.28,0.5,0.28,0.47,0.51,0.0,0.17,0.58,0.38,0.46,0.12,0.21,0.32,0.4,0.09,0.47
opendvr.csv,0.5,0.5,0.37,0.39,0.63,0.42,0.17,0.39,0.24,0.33,0.33,0.5,0.68,0.23,0.0,0.56
power-architect.csv,0.56,0.53,0.69,0.68,0.8,0.46,0.54,0.56,0.6,0.54,0.83,0.0,0.43,0.4,0.62,1.0
sidekar.csv,0.71,0.79,0.38,0.03,0.49,0.67,0.57,0.41,0.38,0.38,0.5,0.64,0.65,0.5,0.43,0.38
wheat.csv,0.4,0.11,0.14,0.32,0.43,0.35,0.4,0.06,0.31,0.2,0.04,0.14,0.3,0.37,0.26,0.47
wsmt.csv,0.21,0.05,0.14,0.29,0.11,0.26,0.17,0.36,0.28,0.33,0.25,0.21,0.27,0.0,0.43,0.0
