,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.04,1.0,0.16,0.0,0.15,0.36,0.0,0.13,0.06,0.16,0.19,0.0,0.42,0.43,0.0,0.14,0.06,0.33,0.36,0.0
baadengine.csv,0.99,0.11,0.85,0.04,0.76,0.48,0.46,0.43,0.3,0.59,0.21,0.08,0.27,0.67,0.29,0.19,0.84,0.54,0.64,0.97
bibedt.csv,0.47,0.1,0.3,0.0,0.58,0.38,0.46,0.38,0.28,0.12,0.21,0.12,0.95,0.68,0.3,0.18,0.43,0.45,0.41,0.56
cascading.csv,0.44,0.04,0.83,0.06,0.65,0.31,0.53,0.41,0.3,0.69,0.31,0.1,0.35,0.58,0.26,0.19,0.99,0.45,0.38,0.1
dataobjectsdotnet.csv,0.37,0.14,0.59,0.06,0.61,0.13,0.11,0.39,0.27,0.46,0.23,0.1,0.44,0.54,0.31,0.13,0.45,0.96,0.31,0.26
gnome-jabber.csv,0.85,0.14,0.91,0.0,0.72,0.41,0.46,0.37,0.3,0.53,0.17,0.09,0.27,0.6,0.21,0.23,0.85,0.46,0.58,0.99
gogoego.csv,0.56,0.0,0.18,0.0,0.35,0.28,0.44,0.96,0.21,0.39,0.18,0.12,0.07,0.51,0.39,0.12,0.36,0.48,0.35,0.93
httpcontentparser.csv,0.26,0.0,0.09,0.0,0.28,0.31,0.11,0.18,0.16,0.0,0.95,0.0,0.24,0.36,0.14,0.11,0.1,0.43,0.38,0.65
impala.csv,0.67,0.17,0.42,0.03,0.49,0.46,0.25,0.26,0.23,0.16,0.15,0.0,0.22,0.41,0.13,0.92,0.14,0.48,0.43,0.85
jaxlib.csv,0.0,0.0,0.0,0.0,0.21,0.13,0.27,0.04,0.0,0.12,0.31,1.0,0.0,0.39,0.0,0.0,0.08,0.15,0.12,0.08
jgameai.csv,0.39,0.0,0.68,0.0,0.42,0.98,0.49,0.32,0.02,0.37,0.21,0.0,0.25,0.24,0.15,0.09,0.54,0.36,0.47,0.02
jhotdraw.csv,0.3,0.1,0.1,0.0,0.44,0.07,0.0,0.29,0.95,0.23,0.09,0.0,0.0,0.23,0.18,0.22,0.3,0.45,0.28,0.76
loki-lib.csv,0.78,0.1,0.62,0.04,0.67,0.38,0.47,0.4,0.36,0.65,0.17,0.1,0.35,0.53,0.26,0.16,0.66,0.55,0.95,0.97
patterntesting.csv,0.68,0.07,0.52,0.04,0.61,0.33,0.49,0.38,0.35,0.98,0.25,0.1,0.3,0.64,0.3,0.18,0.74,0.46,0.51,0.92
pokeglobal.csv,0.59,0.04,0.93,0.05,1.0,0.37,0.53,0.37,0.31,0.46,0.21,0.09,0.31,0.2,0.22,0.19,0.79,0.48,0.23,0.67
snakeyaml.csv,0.07,0.27,0.07,0.0,0.48,0.38,0.25,0.26,0.29,0.12,0.12,0.16,0.14,0.33,0.92,0.04,0.16,0.43,0.39,0.72
unflobtactical.csv,0.58,0.15,0.43,0.0,0.51,0.48,0.52,0.38,0.3,0.52,0.26,0.13,0.29,0.96,0.24,0.05,0.53,0.47,0.39,0.7
werx.csv,0.85,0.14,1.0,0.02,0.72,0.45,0.47,0.39,0.3,0.52,0.19,0.08,0.33,0.73,0.21,0.22,0.85,0.6,0.56,0.97
zealos.csv,0.53,0.05,0.52,0.06,0.54,0.43,0.98,0.38,0.29,0.52,0.25,0.0,0.27,0.63,0.23,0.19,0.65,0.53,0.44,0.52
