,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.77,0.41,0.88,0.77,0.65,0.52,0.71,0.75,0.73,1.0,0.51,0.99,0.9,0.88,0.7,0.33
autat.csv,0.2,0.07,0.42,0.02,0.19,0.33,0.51,0.62,0.85,0.5,0.16,0.14,0.44,0.88,0.4,0.0
biopax.csv,0.93,1.0,0.97,0.91,0.9,0.95,1.0,1.0,1.0,1.0,0.98,1.0,0.8,1.0,1.0,0.92
exl.csv,0.74,0.78,0.12,0.16,0.4,0.71,0.2,0.88,0.35,0.25,0.65,0.97,0.55,0.78,0.6,0.33
fceugc.csv,0.79,0.44,0.29,0.57,0.35,0.76,0.54,0.75,0.31,0.5,0.61,0.58,0.24,0.41,0.55,0.75
fido.csv,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.19,1.0,0.04,0.0,0.28,0.0,0.15,0.46
gretl.csv,0.82,1.0,0.8,0.59,0.75,0.62,0.8,0.88,1.0,0.75,0.75,1.0,0.9,0.98,0.75,0.42
jasperreports.csv,0.8,0.67,0.62,0.95,0.72,0.52,0.66,1.0,0.96,0.25,0.91,1.0,0.18,0.49,0.5,1.0
jmule.csv,0.85,0.93,0.83,0.82,0.68,0.57,0.66,0.56,0.96,1.0,0.72,0.99,0.59,0.93,0.75,0.88
moast.csv,0.18,1.0,0.39,1.0,1.0,0.0,1.0,0.31,0.58,1.0,0.23,0.97,0.63,0.51,0.95,0.33
ng4j.csv,0.44,0.44,0.91,0.45,0.61,0.71,0.63,0.19,1.0,0.75,0.26,0.99,0.83,0.8,0.75,0.29
olap-navigator.csv,0.84,0.63,0.7,0.8,0.49,0.48,0.66,0.5,0.96,0.5,0.72,1.0,0.44,0.71,0.65,1.0
passwordsafe.csv,0.51,1.0,0.87,0.45,0.44,0.62,0.86,1.0,1.0,0.5,0.67,0.99,0.76,0.98,0.7,0.0
phonon-vlc-mplayer.csv,0.48,0.89,0.81,0.64,0.67,0.48,0.69,0.31,0.96,1.0,0.61,0.97,0.52,0.83,0.65,0.21
sepgsql.csv,0.64,0.81,0.71,0.77,0.52,0.43,0.74,0.88,0.69,0.75,0.58,0.99,0.51,0.9,0.65,0.08
unflobtactical.csv,0.8,0.7,0.8,0.59,0.38,0.52,0.74,0.62,0.62,0.75,0.68,1.0,0.89,0.73,0.9,0.08
