,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.15,0.07,0.31,0.3,0.33,0.4,0.35,0.65,0.45,0.72,0.15,0.72,0.8,0.62,0.51,0.1
autat.csv,0.04,0.12,0.07,0.0,0.07,0.07,0.08,0.26,0.36,0.65,0.04,0.66,0.15,0.54,0.17,0.0
biopax.csv,0.67,1.0,0.93,0.92,0.67,0.84,0.85,1.0,1.0,1.0,1.0,1.0,0.05,0.85,0.95,0.9
exl.csv,0.63,0.53,0.34,0.1,0.17,0.7,0.38,0.88,0.31,0.57,0.5,0.62,0.7,0.23,0.37,0.28
fceugc.csv,0.52,0.24,0.37,0.62,0.33,0.26,0.38,0.62,0.54,0.64,0.46,0.62,0.05,0.08,0.53,0.72
fido.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.13,0.12,0.01,0.0,0.05,0.0,0.07,0.28
gretl.csv,0.67,0.81,0.5,0.35,0.4,0.63,0.85,0.82,0.54,0.76,0.47,0.34,0.75,0.69,0.49,0.21
jasperreports.csv,0.96,0.34,0.92,0.98,0.6,0.74,0.81,0.99,0.13,0.17,0.97,1.0,0.55,0.46,0.64,1.0
jmule.csv,0.15,0.72,0.21,0.55,0.23,0.44,0.42,0.43,0.33,0.68,0.4,0.52,0.2,0.62,0.27,0.14
moast.csv,0.3,1.0,0.29,1.0,1.0,0.02,1.0,0.37,0.66,0.99,0.25,0.1,0.55,0.54,0.95,0.28
ng4j.csv,0.11,0.29,0.37,0.22,0.47,0.47,0.38,0.22,0.97,0.37,0.13,0.62,0.35,0.54,0.19,0.0
olap-navigator.csv,0.04,0.15,0.17,0.55,0.23,0.16,0.19,0.37,0.22,0.5,0.47,0.86,0.05,0.38,0.46,0.69
passwordsafe.csv,0.15,0.86,0.33,0.18,0.23,0.56,0.46,0.97,0.98,0.83,0.22,0.62,0.4,0.77,0.42,0.03
phonon-vlc-mplayer.csv,0.04,0.72,0.18,0.15,0.27,0.3,0.27,0.32,0.42,0.58,0.18,0.17,0.0,0.62,0.29,0.03
sepgsql.csv,0.04,0.31,0.15,0.2,0.2,0.35,0.15,0.56,0.21,0.54,0.16,0.48,0.1,0.38,0.37,0.0
unflobtactical.csv,0.37,0.18,0.21,0.22,0.13,0.4,0.27,0.59,0.85,0.87,0.33,0.72,0.55,0.46,0.71,0.14
