,campsoft.csv,beast-mcmc.csv,array4j.csv,continuum-ide.csv,jam-daq.csv,anaxagora.csv,nodal.csv,projectfactory.csv,roolo.csv,l2j.csv
anaxagora.csv,0.94,0.69,0.89,0.52,0.61,0.94,0.95,0.49,0.93,0.97
array4j.csv,0.62,0.98,0.94,0.45,0.91,0.72,0.5,0.86,0.89,0.95
beast-mcmc.csv,0.54,0.7,0.4,0.31,0.49,0.62,0.64,0.56,0.5,0.73
continuum-ide.csv,0.87,0.97,0.86,0.56,0.89,0.81,0.64,0.92,0.67,0.88
jam-daq.csv,0.66,0.68,0.65,0.83,0.52,0.83,0.93,0.68,0.75,0.97
l2j.csv,0.49,0.37,0.5,0.29,0.35,0.47,0.33,0.54,0.42,0.45
nodal.csv,0.54,0.81,0.61,0.63,0.47,0.7,0.76,0.59,0.55,0.97
projectfactory.csv,0.62,0.76,0.65,0.37,0.58,0.73,0.88,0.59,0.59,0.77
roolo.csv,0.94,0.76,0.5,0.8,0.79,0.84,0.9,0.68,0.83,0.91
