,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.62,0.64,0.58,0.2,0.87,0.57,0.51,0.97,0.77,0.65,0.55,0.73,0.69,0.75,0.9
encog-cs.csv,0.95,0.71,0.66,1.02,0.96,0.97,1.0,1.0,0.46,0.76,0.96,0.9,0.81,0.94,0.87
extprosys.csv,0.64,1.02,0.52,0.79,0.91,0.68,0.74,0.74,0.76,0.95,0.49,0.74,0.82,0.67,0.86
ibatisdb.csv,1.0,0.83,0.73,0.85,0.65,0.69,0.77,0.82,0.68,0.75,0.51,0.97,0.93,0.3,0.61
intact.csv,0.57,0.87,0.66,0.61,0.62,0.47,0.79,0.72,0.62,0.99,0.6,0.87,0.75,0.65,0.8
japano.csv,1.26,1.0,0.71,0.94,0.74,0.8,1.0,0.35,0.92,0.85,0.96,0.9,0.92,0.79,0.7
lockss.csv,0.32,0.63,0.58,0.79,0.83,0.82,0.65,0.68,0.77,0.49,0.51,0.64,0.68,0.77,0.55
ofbiz.csv,1.18,0.85,0.92,0.83,0.71,0.79,0.67,0.69,0.58,0.92,0.76,0.7,0.45,0.61,0.8
officefloor.csv,0.56,0.8,0.84,0.64,0.8,0.81,0.97,0.84,0.65,0.8,0.44,0.95,0.79,0.57,0.8
opennms.csv,0.57,0.92,0.74,0.86,0.57,0.75,0.8,0.82,0.7,0.72,0.68,0.93,0.61,0.81,1.0
rohxel.csv,0.52,0.71,0.67,0.72,0.63,0.73,0.44,0.62,0.88,0.87,0.82,0.63,0.79,0.91,1.0
roolo.csv,1.29,0.73,0.7,0.73,0.83,0.87,0.79,0.76,0.73,0.75,0.72,0.3,0.82,0.99,0.85
sevenupdate.csv,1.0,0.29,1.0,1.0,0.95,1.0,1.0,1.0,0.95,0.76,0.99,1.0,0.93,1.0,1.0
web-cat.csv,0.83,0.58,0.96,1.0,0.93,0.83,0.91,0.91,0.9,0.82,0.87,0.82,0.83,0.79,0.45
