,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.62,0.33,0.38,0.14,0.49,0.37,0.27,0.89,0.66,0.65,0.23,0.7,0.51,0.62,0.58
encog-cs.csv,0.95,0.5,0.43,1.0,0.95,0.97,1.0,1.0,0.36,0.21,0.96,0.89,0.79,0.93,0.87
extprosys.csv,0.64,1.0,0.29,0.79,0.91,0.59,0.18,0.44,0.7,0.92,0.47,0.62,0.8,0.67,0.52
ibatisdb.csv,0.05,0.33,0.22,0.43,0.36,0.27,0.27,0.33,0.31,0.4,0.25,0.22,0.09,0.17,0.19
intact.csv,0.57,0.83,0.37,0.43,0.57,0.29,0.27,0.22,0.24,0.99,0.59,0.35,0.73,0.38,0.32
japano.csv,0.77,1.0,0.69,0.93,0.7,0.78,1.0,0.22,0.92,0.8,0.94,0.89,0.91,0.75,0.65
lockss.csv,0.32,0.33,0.36,0.07,0.26,0.19,0.45,0.44,0.15,0.33,0.45,0.46,0.27,0.44,0.35
ofbiz.csv,0.62,0.83,0.91,0.71,0.53,0.75,0.55,0.33,0.46,0.3,0.75,0.27,0.39,0.51,0.77
officefloor.csv,0.56,0.0,0.13,0.29,0.14,0.14,0.0,0.56,0.27,0.2,0.27,0.05,0.08,0.32,0.55
opennms.csv,0.57,0.83,0.17,0.29,0.27,0.14,0.73,0.0,0.16,0.33,0.17,0.22,0.4,0.1,0.06
rohxel.csv,0.52,0.0,0.46,0.14,0.27,0.19,0.36,0.11,0.02,0.1,0.3,0.19,0.21,0.29,0.0
roolo.csv,0.81,0.67,0.68,0.57,0.82,0.84,0.18,0.33,0.61,0.65,0.63,0.16,0.79,0.76,0.71
sevenupdate.csv,1.0,0.0,1.0,1.0,0.94,1.0,1.0,1.0,0.95,0.58,0.99,1.0,0.93,1.0,1.0
web-cat.csv,0.83,0.33,0.96,1.0,0.91,0.82,0.91,0.89,0.89,0.8,0.87,0.81,0.82,0.79,0.32
