,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,99.0,98.5,482.5,294.0,7769.5,99.0,393.5,1067.0,197.0,742.0,196.0,3653.5,388.0,98.5,81.5,181.0
arcallians.csv,97.5,193.0,193.0,184.5,1500.0,99.0,593.0,877.0,195.0,377.0,198.0,1519.0,291.5,98.5,98.5,358.0
arianne.csv,97.5,98.5,482.5,490.0,8722.5,99.0,494.0,870.5,98.5,936.0,297.0,4311.0,193.0,98.5,98.5,727.0
aztec.csv,95.5,96.5,76.5,292.5,453.5,99.0,493.0,385.0,95.5,468.5,297.0,1539.5,91.5,98.5,95.5,628.5
biopax.csv,99.0,98.5,482.5,490.0,10111.5,99.0,494.0,1067.0,197.0,936.0,297.0,4311.0,388.0,98.5,98.5,1001.5
bl-toolkit.csv,99.0,98.5,189.0,490.0,6476.5,99.0,593.0,382.0,197.0,936.0,297.0,2684.5,388.0,98.5,95.5,1001.5
gnupdate.csv,98.5,98.5,76.5,285.0,9104.5,99.0,494.0,485.0,197.0,280.5,99.0,595.5,290.5,98.5,95.5,531.0
les-indemodables.csv,95.5,98.5,191.0,285.0,3026.0,277.5,295.5,481.0,96.5,565.0,99.0,954.5,193.0,98.5,98.5,264.5
ng4j.csv,95.5,94.5,89.5,279.0,1255.5,97.5,327.0,284.5,197.0,284.5,99.0,2377.0,291.5,98.5,95.5,178.0
openxava.csv,99.0,98.5,182.0,91.5,4488.0,205.5,1635.0,190.0,192.0,660.5,393.5,440.0,388.0,98.5,98.5,437.5
phonon-vlc-mplayer.csv,97.5,96.5,93.5,184.5,410.0,99.0,98.5,284.5,197.0,564.0,297.0,2529.5,192.0,98.5,95.5,358.0
qgis.csv,99.0,96.5,191.0,0.0,2964.0,99.0,1096.5,1067.0,197.0,0.0,0.0,1562.5,193.0,98.5,98.5,180.0
rsyslog.csv,99.0,98.5,289.5,186.0,7697.0,99.0,295.5,676.5,195.0,357.0,99.0,3240.0,291.5,236.5,95.5,633.5
vars-redux.csv,192.0,98.5,385.0,186.0,1852.5,184.0,342.0,772.5,197.0,563.0,392.0,1081.0,291.5,98.5,98.5,167.0
xapian.csv,99.0,98.5,482.5,285.0,5594.0,99.0,494.5,775.0,197.0,648.5,99.0,4311.0,193.0,95.5,95.5,917.0
xqilla.csv,99.0,98.5,86.5,10.5,4868.0,99.0,195.5,79.5,197.0,147.0,196.0,68.5,1445.5,13.5,95.5,720.5
