,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.87,0.16,0.28,0.94,0.23,0.82,0.88,0.03,0.95,0.29,1.0,0.18,0.95,0.17,0.95,0.98
chipster.csv,0.13,0.36,0.01,0.94,0.28,0.52,0.38,0.35,0.44,0.5,0.57,0.18,0.33,0.25,0.42,0.55
delphilhlplib.csv,0.82,0.72,0.54,0.0,0.43,0.33,0.75,0.38,0.54,0.5,0.86,0.72,0.82,0.71,0.95,0.73
emite.csv,0.78,0.37,0.55,0.56,0.66,0.48,0.62,0.43,0.69,0.73,0.38,0.0,0.24,0.25,0.42,0.66
hydrate.csv,0.09,0.04,0.09,0.17,0.13,0.36,0.62,0.16,0.46,0.15,0.05,0.0,0.01,0.01,0.0,0.36
ivataopenportal.csv,0.31,0.62,0.75,0.5,0.05,0.64,0.62,0.62,0.62,0.69,0.62,0.68,0.37,0.38,0.63,0.72
jppf-project.csv,1.0,0.92,0.79,0.22,0.7,0.97,0.0,0.65,0.51,0.38,0.29,0.75,0.39,0.8,1.0,0.99
kolmafia.csv,0.78,0.24,0.24,0.22,0.42,0.55,0.12,0.41,0.0,0.37,0.48,0.18,0.18,0.26,0.47,0.73
l2j.csv,0.87,0.59,0.68,0.89,0.3,0.55,0.88,0.76,0.49,0.54,0.57,0.38,0.01,0.48,0.84,0.7
mb-unit.csv,0.44,0.05,0.4,0.44,0.81,0.58,0.38,0.49,0.72,0.29,0.43,0.2,0.51,0.46,0.58,0.83
opde.csv,0.04,0.39,0.44,0.78,0.16,0.52,0.5,0.41,0.69,0.79,0.48,0.3,0.45,0.42,0.68,0.69
pamguard.csv,0.33,0.51,0.55,0.72,0.68,0.0,0.38,0.62,0.46,0.9,0.9,0.52,0.74,0.48,0.74,0.83
quark.csv,0.04,0.09,0.07,0.06,0.01,0.0,0.12,0.03,0.03,0.0,0.0,0.05,0.01,0.1,0.0,0.0
stajistics.csv,0.11,0.12,0.35,0.28,0.12,0.64,0.62,0.38,0.31,0.38,0.62,0.38,0.32,0.0,0.42,0.27
tigermud.csv,0.51,0.25,0.42,0.78,0.71,0.76,1.0,0.54,0.59,0.15,0.1,0.25,0.57,0.3,0.63,0.39
