,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.38,0.92,0.55,0.72,0.53,0.64,0.93,1.0,0.54,0.21,0.62,0.56,0.72,0.33,0.64,0.01
chipster.csv,0.45,0.84,0.98,0.71,0.6,0.65,0.93,0.89,0.65,0.24,0.5,0.42,0.72,0.19,0.67,0.02
delphilhlplib.csv,0.35,0.84,0.37,1.0,0.56,0.74,0.89,0.91,0.5,0.16,0.58,0.41,0.74,0.29,0.55,0.01
emite.csv,0.33,0.9,0.43,0.82,0.49,0.7,0.93,0.9,0.58,0.17,0.56,1.0,0.76,0.45,0.71,0.0
hydrate.csv,0.6,0.96,0.5,0.83,0.61,0.6,0.91,0.89,0.6,0.11,0.75,1.0,0.96,0.75,1.0,0.03
ivataopenportal.csv,0.39,0.87,0.42,0.84,0.95,0.69,0.94,0.9,0.58,0.2,0.66,0.43,0.79,0.48,0.68,0.0
jppf-project.csv,0.36,0.86,0.36,0.89,0.52,0.63,1.0,0.89,0.62,0.23,0.76,0.45,0.78,0.29,0.63,0.01
kolmafia.csv,0.3,0.9,0.6,0.86,0.58,0.67,0.98,0.9,1.0,0.27,0.64,0.5,0.73,0.51,0.74,0.01
l2j.csv,0.32,0.86,0.4,0.75,0.55,0.72,0.92,0.87,0.63,0.2,0.67,0.53,0.99,0.37,0.66,0.01
mb-unit.csv,0.38,0.99,0.47,0.71,0.55,0.64,0.94,0.9,0.49,0.17,0.55,0.38,0.79,0.42,0.66,0.0
opde.csv,0.92,0.88,0.41,0.68,0.51,0.67,0.91,0.9,0.58,0.23,0.57,0.5,0.69,0.33,0.68,0.01
pamguard.csv,0.44,0.86,0.44,0.79,0.51,1.0,0.95,0.89,0.62,0.22,0.61,0.4,0.71,0.37,0.62,0.0
quark.csv,0.0,0.76,0.5,0.83,0.75,0.0,0.0,0.8,0.8,1.0,1.0,0.33,0.88,0.12,1.0,0.0
stajistics.csv,0.5,0.92,0.41,0.84,0.68,0.55,0.9,0.89,0.67,0.13,0.62,0.38,0.75,1.0,0.73,0.0
tigermud.csv,0.3,0.91,0.44,0.67,0.51,0.58,0.87,0.87,0.6,0.27,0.94,0.47,0.76,0.32,0.64,0.02
