,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.55,0.47,0.52,0.76,0.33,0.72,0.95,1.0,0.69,0.25,0.76,0.38,0.82,0.25,0.77,0.02
chipster.csv,0.28,0.47,0.98,0.74,0.48,0.59,0.57,0.55,0.65,0.34,0.41,0.23,0.45,0.16,0.56,0.03
delphilhlplib.csv,0.49,0.73,0.42,0.99,0.54,0.61,0.66,0.67,0.47,0.23,0.64,0.5,0.81,0.4,0.6,0.03
emite.csv,0.44,0.7,0.5,0.83,0.54,0.66,0.83,0.66,0.68,0.27,0.38,0.98,0.43,0.46,0.66,0.0
hydrate.csv,0.34,0.27,0.21,0.42,0.3,0.4,0.66,0.31,0.59,0.09,0.15,0.12,0.24,0.18,1.0,0.05
ivataopenportal.csv,0.37,0.79,0.55,0.87,0.95,0.74,0.9,0.83,0.63,0.31,0.68,0.51,0.63,0.6,0.71,0.0
jppf-project.csv,0.53,0.9,0.46,0.75,0.6,0.74,1.0,0.78,0.66,0.31,0.63,0.58,0.64,0.41,0.78,0.02
kolmafia.csv,0.4,0.54,0.55,0.61,0.56,0.65,0.78,0.67,0.99,0.36,0.57,0.31,0.31,0.57,0.75,0.03
l2j.csv,0.44,0.73,0.5,0.81,0.43,0.76,0.89,0.77,0.67,0.29,0.68,0.54,0.99,0.46,0.78,0.03
mb-unit.csv,0.42,0.99,0.49,0.49,0.69,0.61,0.68,0.72,0.53,0.19,0.4,0.23,0.78,0.54,0.65,0.0
opde.csv,0.94,0.65,0.42,0.62,0.25,0.62,0.62,0.65,0.68,0.36,0.45,0.44,0.49,0.38,0.76,0.03
pamguard.csv,0.46,0.64,0.52,0.84,0.58,0.99,0.8,0.76,0.63,0.36,0.71,0.42,0.7,0.46,0.66,0.0
quark.csv,0.0,0.09,0.18,0.17,0.05,0.0,0.0,0.03,0.15,0.96,0.16,0.06,0.07,0.05,0.17,0.0
stajistics.csv,0.29,0.36,0.39,0.64,0.37,0.49,0.64,0.56,0.58,0.17,0.61,0.33,0.49,0.95,0.7,0.0
tigermud.csv,0.34,0.57,0.45,0.59,0.59,0.58,0.7,0.63,0.65,0.25,0.9,0.36,0.73,0.33,0.64,0.05
