,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.62,0.2,0.35,0.79,0.71,0.39,0.45,0.11,0.06,0.14,0.33,0.55,0.64,0.66
exordium.csv,0.83,0.15,0.23,0.13,0.21,0.33,0.23,0.26,0.27,0.26,0.26,0.29,0.22,0.3
google-caja.csv,0.79,0.15,0.49,0.66,0.62,0.81,0.42,0.3,0.95,0.55,0.45,0.66,0.67,0.76
hydrogen.csv,1.0,0.0,1.0,1.0,0.02,0.93,0.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.04,0.2,0.17,0.61,0.39,0.17,0.15,0.07,0.13,0.05,0.03,0.38,0.47,0.47
kvs.csv,0.0,0.0,0.21,0.2,0.14,0.48,0.02,0.48,0.41,0.2,0.19,0.28,0.22,0.36
megameknet.csv,0.33,0.1,0.35,0.63,0.7,0.46,0.27,0.89,0.22,0.25,0.3,0.64,0.64,0.63
ns-3-dev-def-routing.csv,0.75,0.1,0.24,0.05,0.25,0.52,0.49,0.56,0.53,0.4,0.15,0.39,0.38,0.12
open-ms.csv,0.42,0.1,0.32,0.43,0.25,0.39,0.14,0.52,0.65,0.27,0.36,0.36,0.38,0.35
openmsx.csv,0.08,0.15,0.79,0.95,0.77,0.13,0.72,0.41,0.89,0.81,0.34,0.66,0.78,0.76
rezilla.csv,0.5,0.22,0.74,0.87,0.55,0.22,0.32,0.07,0.32,0.41,0.73,0.64,0.76,0.76
sauerbraten.csv,0.33,0.78,0.65,0.92,0.86,0.65,0.77,0.67,0.87,0.41,0.71,0.97,0.96,0.95
webdriver.csv,0.54,0.22,0.17,0.43,0.46,0.22,0.48,0.15,0.28,0.29,0.18,0.43,0.36,0.3
yafdotnet.csv,0.58,0.02,0.4,0.7,0.43,0.63,0.32,0.89,0.25,0.7,0.51,0.55,0.47,0.62
