,f1,g,recall,precision,pf,wins
badtrinity-zero.csv,0.405,0.5700000000000001,0.65,0.495,0.42000000000000004,10
exordium.csv,0.485,0.55,0.5700000000000001,0.54,0.26,13
google-caja.csv,0.54,0.625,0.84,0.455,0.64,11
hydrogen.csv,0.575,0.0,1.0,0.415,1.0,1
kmess.csv,0.355,0.49,0.44499999999999995,0.51,0.17,7
kvs.csv,0.245,0.25,0.22,0.32,0.20500000000000002,0
megameknet.csv,0.445,0.52,0.585,0.445,0.405,5
ns-3-dev-def-routing.csv,0.435,0.49,0.48,0.46499999999999997,0.385,4
open-ms.csv,0.49,0.535,0.515,0.45499999999999996,0.36,8
openmsx.csv,0.38,0.44,0.69,0.41,0.74,2
rezilla.csv,0.35,0.485,0.5800000000000001,0.385,0.525,3
sauerbraten.csv,0.555,0.55,0.86,0.405,0.775,6
webdriver.csv,0.5,0.5700000000000001,0.565,0.51,0.295,12
yafdotnet.csv,0.45999999999999996,0.6,0.69,0.44499999999999995,0.53,9
