,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.46,0.46,0.44,0.68,0.28,0.89,1.0,0.64,0.86,0.68
critterding.csv,0.47,1.0,0.3,0.69,0.13,0.79,0.43,0.66,0.71,0.63
enlightenment.csv,0.5,0.67,0.37,0.99,0.29,0.75,0.44,0.47,1.0,0.78
exordium.csv,0.42,0.6,1.0,0.61,0.29,0.87,0.56,0.57,0.92,0.66
google-caja.csv,0.48,0.44,0.31,0.62,0.22,1.0,0.52,0.55,0.86,0.71
itext.csv,0.39,0.48,0.33,0.62,0.31,0.85,0.44,0.59,0.84,0.97
lockss.csv,0.53,0.5,0.36,0.74,1.0,0.86,0.46,0.58,0.67,1.0
modplug.csv,0.45,0.51,0.31,0.64,0.24,0.81,0.36,0.42,0.98,0.76
reactos-mirror.csv,0.99,0.48,0.25,0.67,0.22,0.72,0.29,0.39,0.69,0.54
yafdotnet.csv,0.4,0.38,0.26,0.58,0.21,0.74,0.28,0.98,0.7,0.53
