,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.8,0.71,0.76,0.57,0.66,0.71,0.0,0.65,0.59,0.57,0.8,0.56,0.69,0.79,0.73,0.7,0.78,1.0
fbmanager.csv,0.61,0.5,0.03,0.43,0.76,0.75,0.74,0.41,0.67,0.74,0.92,0.48,0.6,0.78,0.88,0.86,0.6,0.62
fido.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fityk.csv,0.6,0.67,0.65,0.68,0.67,0.59,0.56,0.44,0.82,0.77,1.2,0.64,0.05,0.7,0.57,0.5,0.68,0.78
fleet-simulator.csv,0.68,0.73,0.72,0.68,0.75,1.0,0.9,0.73,0.79,0.26,0.89,0.47,0.68,0.75,0.7,0.0,0.63,0.53
google-caja.csv,0.59,0.7,0.54,0.01,0.93,0.69,0.67,0.4,0.98,0.69,0.5,0.59,0.59,0.83,0.6,0.31,0.61,0.77
hibernate.csv,0.76,0.76,0.85,0.67,0.53,0.91,0.85,0.49,0.49,0.63,0.79,0.62,0.89,0.57,0.37,0.63,0.06,0.52
itext.csv,0.69,0.45,0.61,0.35,0.59,0.74,0.74,0.06,0.19,0.39,0.77,0.46,0.75,0.78,0.51,0.74,0.65,0.64
k3b.csv,0.49,0.69,0.78,0.53,0.46,0.0,0.74,0.44,0.5,0.41,0.58,0.57,0.58,0.7,0.46,0.43,0.6,0.81
megameknet.csv,0.75,0.78,0.71,0.51,0.57,0.74,0.65,0.91,0.53,0.39,0.47,0.12,0.81,0.78,0.51,0.97,0.62,0.43
myfaces.csv,0.97,0.68,0.97,0.88,0.13,0.92,0.8,0.97,0.96,0.84,0.98,0.94,0.91,0.75,0.89,1.0,0.95,0.98
ninject.csv,1.0,0.88,0.94,0.93,0.7,0.97,0.98,0.91,1.02,0.91,1.25,0.76,1.0,0.94,0.8,0.21,0.86,0.0
ondex.csv,0.76,0.88,0.87,0.86,0.86,0.93,0.95,0.88,1.04,0.91,1.2,0.83,0.96,0.12,0.72,0.17,0.77,0.8
paintown.csv,0.04,0.63,0.55,0.45,0.59,0.62,0.59,0.64,0.73,0.42,0.97,0.57,0.69,0.71,0.42,0.46,0.61,0.59
poormans.csv,0.81,0.82,0.78,0.7,0.58,0.77,0.74,0.85,0.63,0.58,1.03,0.56,0.78,0.59,0.06,0.3,0.68,0.42
powerfolder.csv,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.0,0.85,1.0,0.93,1.0,1.0,0.88,1.0,0.97,1.0
smartgwt.csv,0.73,0.83,0.91,0.69,0.55,0.92,0.74,0.7,0.44,0.08,0.83,0.65,0.77,0.68,0.49,1.0,0.64,0.83
triplea.csv,0.48,0.06,0.52,0.66,0.59,0.56,0.58,0.58,0.47,0.4,0.92,0.45,0.65,0.55,0.58,0.41,0.61,0.46
