,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.24,0.31,0.26,0.64,0.44,0.31,1.0,0.35,0.6,0.52,0.25,0.48,0.48,0.45,0.32,0.3,0.25,0.0
fbmanager.csv,0.65,0.56,0.97,0.69,0.67,0.34,0.33,0.65,1.0,0.8,0.75,0.67,0.61,0.79,0.76,0.57,0.68,0.6
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.46,0.66,0.65,0.74,0.67,0.48,0.81,0.68,0.4,0.24,0.0,0.43,1.0,0.64,0.74,0.5,0.53,0.6
fleet-simulator.csv,0.74,0.88,0.76,0.85,0.9,0.98,0.89,0.97,1.0,0.82,0.5,0.7,0.77,0.79,0.88,1.0,0.75,0.6
google-caja.csv,0.46,0.59,0.85,0.99,0.48,0.4,0.53,0.68,0.4,0.55,0.75,0.48,0.68,0.79,0.53,0.69,0.55,0.6
hibernate.csv,0.25,0.41,0.15,0.38,0.5,0.1,0.19,0.65,0.6,0.43,0.25,0.39,0.11,0.61,0.68,0.37,0.94,0.6
itext.csv,0.32,0.59,0.41,0.68,0.6,0.28,0.33,0.94,1.0,0.67,0.25,0.62,0.32,0.64,0.62,0.26,0.38,0.4
k3b.csv,0.66,0.69,0.88,0.72,0.71,1.0,0.61,0.76,0.8,0.8,0.5,0.8,0.64,0.85,0.74,0.65,0.55,0.4
megameknet.csv,0.53,0.59,0.29,0.59,0.56,0.41,0.56,0.74,1.0,0.71,1.0,0.88,0.23,0.52,0.62,0.39,0.45,0.6
myfaces.csv,0.96,0.84,1.0,0.79,0.88,0.91,0.89,0.94,0.8,0.16,1.0,0.75,0.93,0.79,0.47,1.0,0.88,0.8
ninject.csv,0.0,0.12,0.06,0.09,0.31,0.03,0.06,0.09,0.2,0.09,0.0,0.25,0.0,0.06,0.21,0.83,0.69,1.0
ondex.csv,0.25,0.12,0.15,0.14,0.15,0.07,0.06,0.12,0.2,0.1,0.0,0.17,0.05,0.88,0.29,0.89,0.53,0.2
paintown.csv,0.96,0.47,0.56,0.63,0.83,0.45,0.5,0.5,1.0,0.8,0.25,0.77,0.48,0.73,0.76,0.54,0.7,0.6
poormans.csv,0.46,0.47,0.38,0.35,0.44,0.5,0.33,0.85,0.4,0.42,0.0,0.46,0.23,0.45,0.94,0.7,0.35,0.6
powerfolder.csv,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.15,0.0,0.07,0.0,0.0,0.12,0.0,0.03,0.0
smartgwt.csv,0.9,0.5,0.88,0.45,0.6,0.88,0.72,0.65,0.8,0.92,0.75,0.46,0.75,0.42,0.56,0.91,0.78,0.6
triplea.csv,0.57,0.97,0.59,0.71,0.88,0.62,0.56,0.71,1.0,0.6,0.25,0.62,0.39,0.88,0.76,0.61,0.5,0.6
