,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.56,0.17,0.06,0.99,0.0,0.16,0.07,0.0,0.44,0.3,0.07,0.24,0.45
empserver.csv,0.56,0.19,0.27,0.48,0.01,0.48,0.06,0.04,0.42,0.96,0.26,0.68,0.62
emulemorph.csv,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.91,0.16,0.0,0.0,0.1,0.3
google-web-toolkit.csv,0.41,0.14,0.26,0.45,0.01,0.45,0.26,0.07,0.37,0.48,0.18,0.53,0.99
htmlunit.csv,0.49,0.18,0.19,0.19,0.01,0.98,0.37,0.11,0.26,0.45,0.23,0.3,0.37
jaxen.csv,0.12,0.0,0.12,0.11,0.0,0.27,1.0,0.08,0.0,0.0,0.5,0.37,0.13
jguard.csv,0.59,0.13,0.35,0.4,0.01,0.42,0.11,0.12,0.93,0.69,0.19,0.58,0.64
kowari.csv,0.12,0.15,0.32,0.16,0.0,0.26,0.25,0.17,0.12,0.0,1.0,0.05,0.26
maidsafe-dht.csv,0.0,0.18,1.0,0.04,0.0,0.34,0.0,0.0,0.32,0.1,0.24,0.13,0.21
mimosa.csv,0.6,0.16,0.31,0.49,0.0,0.56,0.1,0.15,0.49,0.58,0.2,1.0,0.6
vdsf.csv,0.68,0.8,0.3,0.43,0.0,0.43,0.08,0.12,0.46,0.57,0.09,0.46,0.67
xbrlapi.csv,0.98,0.17,0.15,0.31,0.0,0.49,0.07,0.06,0.25,0.54,0.12,0.6,0.41
