,xbrlapi.csv,vdsf.csv,maidsafe-dht.csv,dvt.csv,gotjava.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jguard.csv,empserver.csv,kowari.csv,mimosa.csv,google-web-toolkit.csv
dvt.csv,0.55,0.47,0.32,0.01,0.29,0.29,0.66,0.26,0.34,0.12,0.24,0.17,0.48
empserver.csv,0.5,0.41,0.5,0.47,0.81,0.59,0.71,0.46,0.21,0.0,0.44,0.21,0.5
emulemorph.csv,0.08,0.0,0.02,0.17,0.08,0.06,0.0,0.0,0.07,0.03,0.08,0.02,0.12
google-web-toolkit.csv,0.5,0.33,0.43,0.33,0.64,0.46,0.27,0.44,0.25,0.55,0.42,0.43,0.01
htmlunit.csv,0.55,0.44,0.23,0.35,0.29,0.0,0.1,0.28,0.2,0.45,0.31,0.17,0.22
jaxen.csv,0.1,0.0,0.03,0.12,0.04,0.04,0.0,0.18,0.0,0.0,0.03,0.05,0.11
jguard.csv,0.75,0.95,0.72,0.76,0.7,0.54,0.79,0.67,0.0,0.64,0.51,0.9,0.54
kowari.csv,0.08,0.12,0.12,0.49,0.03,0.12,0.02,0.05,0.0,0.03,0.0,0.0,0.12
maidsafe-dht.csv,0.08,0.15,0.0,0.1,0.03,0.07,0.02,0.17,0.12,0.09,0.29,0.14,0.12
mimosa.csv,0.62,1.0,0.67,0.73,0.8,0.63,0.9,0.66,0.34,0.48,0.62,0.0,0.59
vdsf.csv,0.9,0.03,0.9,0.82,0.92,0.93,0.82,0.86,0.89,0.91,0.72,0.83,0.79
xbrlapi.csv,0.0,0.68,0.38,0.34,0.42,0.7,0.62,0.53,0.45,0.39,0.51,0.43,0.32
