,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.6,0.68,0.67,0.57
ngl.csv,0.61,0.62,0.65,0.72
qmmp.csv,0.55,0.6,0.61,0.68
quarkplusplus.csv,0.59,0.55,0.6,0.43
