,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.03,0.8,0.44,0.99,0.46,0.36,0.44,0.65,0.51,0.36,0.07,0.29,0.79,0.46
encog-cs.csv,0.03,0.83,0.44,0.86,0.43,0.39,0.75,0.8,0.97,0.23,0.04,0.57,0.75,0.44
extprosys.csv,0.03,0.58,0.96,0.72,0.38,0.3,0.69,0.78,0.45,0.36,0.04,0.52,0.64,0.22
ibatisdb.csv,0.0,0.35,0.06,0.28,0.3,0.23,0.6,0.42,0.09,0.16,0.14,0.54,0.24,1.0
intact.csv,0.0,0.92,0.24,0.59,0.47,0.98,0.78,0.41,0.29,0.13,0.09,0.48,0.41,0.16
japano.csv,0.03,0.8,0.47,0.58,0.28,0.34,0.48,1.0,0.49,0.35,0.06,0.38,0.73,0.43
lockss.csv,0.0,0.0,0.04,0.0,0.15,0.16,0.33,0.15,0.03,0.87,0.01,0.41,0.09,0.05
ofbiz.csv,0.0,0.58,0.45,0.36,0.13,0.34,0.05,0.43,0.35,0.18,0.07,0.23,1.0,0.47
officefloor.csv,0.0,0.57,0.34,0.88,0.38,0.4,0.72,0.88,0.15,0.27,0.93,0.56,0.21,0.39
opennms.csv,0.0,0.41,0.03,0.36,0.98,0.06,0.4,0.27,0.36,0.19,0.08,0.0,0.3,0.04
rohxel.csv,0.03,0.67,0.45,0.78,0.31,0.48,0.99,0.73,0.46,0.34,0.05,0.43,0.6,0.44
roolo.csv,0.0,0.7,0.49,0.28,0.36,0.27,0.27,0.35,0.24,0.36,0.06,0.95,0.45,0.09
sevenupdate.csv,0.02,1.0,0.44,0.91,0.41,0.43,0.85,0.95,0.5,0.33,0.05,0.54,0.77,0.36
