,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.31,0.41,0.54,0.52,0.62,0.5,0.49,0.8,0.65,0.91
aime.csv,0.54,0.47,0.64,0.0,0.48,0.67,0.88,0.99,0.9,0.94
badtrinitycore.csv,0.0,0.67,0.61,0.65,0.45,0.38,0.44,0.6,0.44,0.57
electric-core.csv,0.31,0.56,0.62,0.52,0.47,0.47,0.49,0.57,0.47,0.5
geochat.csv,0.38,0.44,0.44,0.86,0.86,0.5,0.91,0.93,0.9,0.69
mumble.csv,0.33,0.44,0.54,0.93,0.42,0.4,0.46,0.82,0.5,0.5
olsrd.csv,0.31,0.33,0.55,0.56,0.37,0.67,0.45,0.47,0.47,0.57
silvertree.csv,0.31,0.41,0.39,0.38,0.74,0.56,0.41,0.46,0.39,0.62
skia.csv,0.34,0.33,0.48,0.42,0.38,0.6,0.49,0.65,0.48,0.52
t-2.csv,0.48,0.49,0.48,0.43,0.53,0.39,0.44,0.75,0.5,0.59
