,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.61,0.85,1.09,0.89,1.0,1.0,0.7,0.4,0.98,0.96
haphazard.csv,0.92,0.93,0.75,0.87,0.8,0.84,0.84,0.8,0.6,0.8
jicarilla.csv,0.97,1.0,0.27,1.0,1.0,1.0,0.97,0.72,1.0,1.0
ondex.csv,0.45,0.79,1.01,0.54,0.54,0.95,0.97,0.98,0.45,0.57
optalgtoolkit.csv,0.79,0.71,0.82,0.77,1.02,0.35,0.83,0.89,0.8,0.73
ossim.csv,0.84,0.79,0.8,0.34,1.0,0.71,0.76,0.91,0.81,0.7
projectts.csv,0.55,0.71,1.0,0.6,0.84,0.84,0.57,0.91,0.78,0.85
sabbu.csv,0.38,0.68,0.89,0.58,0.7,0.8,0.72,0.88,0.91,0.72
vxl.csv,0.66,0.68,0.82,0.53,0.8,0.77,0.62,0.87,0.79,0.75
zact.csv,0.83,0.91,0.48,0.67,0.28,1.0,0.74,0.75,0.86,0.68
