,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.57,0.85,0.43,0.89,1.0,1.0,0.48,0.33,0.98,0.94
haphazard.csv,0.31,0.25,0.16,0.44,0.36,0.48,0.04,0.61,0.27,0.33
jicarilla.csv,0.06,0.0,0.24,0.0,0.0,0.03,0.04,0.44,0.0,0.0
ondex.csv,0.22,0.09,0.11,0.39,0.46,0.06,0.0,0.06,0.23,0.29
optalgtoolkit.csv,0.28,0.43,0.78,0.45,0.22,0.23,0.48,0.89,0.4,0.57
ossim.csv,0.35,0.21,0.32,0.29,0.04,0.32,0.56,0.89,0.42,0.61
projectts.csv,0.48,0.67,0.24,0.51,0.83,0.77,0.52,0.22,0.63,0.82
sabbu.csv,0.24,0.56,0.14,0.55,0.69,0.32,0.48,0.33,0.79,0.71
vxl.csv,0.22,0.33,0.24,0.43,0.56,0.65,0.19,0.11,0.69,0.35
zact.csv,0.69,0.17,0.27,0.37,0.24,0.0,0.7,0.39,0.17,0.13
