,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.6,0.27,0.0,0.06,0.06,0.38,0.58,0.85,0.19,0.15
haphazard.csv,0.32,0.12,0.6,0.03,0.04,0.29,0.86,0.66,0.3,0.15
jicarilla.csv,0.4,0.0,0.76,0.0,0.0,0.0,0.5,0.7,0.0,0.0
ondex.csv,0.74,0.44,0.0,0.09,0.08,0.33,1.0,0.5,0.4,0.26
optalgtoolkit.csv,0.5,0.25,0.46,0.05,0.0,0.67,0.48,0.73,0.16,0.16
ossim.csv,0.42,0.27,0.43,0.14,0.0,0.41,0.55,0.69,0.15,0.18
projectts.csv,0.62,0.27,0.1,0.08,0.06,0.35,0.67,0.56,0.18,0.16
sabbu.csv,0.76,0.26,0.44,0.08,0.07,0.33,0.57,0.57,0.15,0.21
vxl.csv,0.65,0.28,0.44,0.09,0.04,0.35,0.75,0.75,0.18,0.16
zact.csv,0.46,0.17,0.67,0.07,0.17,0.0,0.6,0.7,0.18,0.34
