,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.42,0.44,0.69,0.39,0.33,0.28,0.52,0.47,0.33,0.33
haphazard.csv,0.96,0.91,0.8,0.65,0.6,0.48,0.86,0.5,0.65,0.69
jicarilla.csv,0.8,0.0,0.79,0.0,0.0,0.0,0.5,0.52,0.0,0.0
ondex.csv,0.45,0.94,0.75,0.48,0.53,0.67,0.0,0.5,0.7,0.66
optalgtoolkit.csv,0.87,0.55,0.63,0.49,0.85,0.48,0.52,0.33,0.6,0.45
ossim.csv,0.88,0.7,0.57,0.6,0.8,0.47,0.58,0.31,0.42,0.37
projectts.csv,0.46,0.49,0.7,0.51,0.36,0.32,0.52,0.89,0.33,0.32
sabbu.csv,0.46,0.45,0.89,0.41,0.44,0.67,0.47,0.93,0.42,0.36
vxl.csv,0.68,0.64,0.62,0.63,0.44,0.35,0.75,0.88,0.39,0.59
zact.csv,0.66,0.96,0.9,0.69,0.77,0.0,0.55,0.74,0.91,0.97
