,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.79,0.95,0.0,0.94,1.0,1.0,0.49,0.77,0.92,0.85
haphazard.csv,0.14,0.11,0.27,0.25,0.29,0.32,0.16,0.48,0.46,0.27
jicarilla.csv,0.03,0.0,0.88,0.0,0.0,0.0,0.03,0.43,0.0,0.0
ondex.csv,0.6,0.22,0.0,0.62,0.71,0.05,0.03,0.02,0.62,0.52
optalgtoolkit.csv,0.26,0.43,0.76,0.38,0.0,0.74,0.32,1.0,0.31,0.55
ossim.csv,0.24,0.24,0.27,0.81,0.0,0.37,0.49,0.82,0.31,0.67
projectts.csv,0.72,0.76,0.03,0.69,0.86,0.68,0.76,0.11,0.54,0.76
sabbu.csv,0.71,0.62,0.12,0.81,0.86,0.26,0.46,0.18,0.54,0.91
vxl.csv,0.38,0.41,0.21,0.69,0.43,0.58,0.41,0.14,0.62,0.33
zact.csv,0.53,0.11,0.61,0.44,0.86,0.0,0.76,0.36,0.15,0.33
