,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.52,0.81,0.52,0.67,0.33,0.69,0.88,0.13,0.22,0.62,0.11,0.92,0.62,0.15
cme.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.83
hydrate.csv,0.77,0.97,0.48,0.62,0.35,0.33,0.56,0.33,0.27,0.47,0.14,0.92,0.74,0.13
ivef-sdk.csv,0.67,0.94,0.52,0.68,0.3,1.0,0.37,0.0,0.28,0.48,0.0,0.87,0.0,0.1
jmri.csv,0.88,0.96,0.65,0.44,0.11,1.0,0.46,0.43,0.48,0.55,0.3,0.92,0.71,0.1
jython.csv,0.64,0.86,0.55,0.62,0.29,0.71,0.48,0.47,0.26,0.52,0.14,0.94,0.62,0.06
kdenlive.csv,0.81,0.91,0.53,0.48,0.36,0.57,0.44,0.13,0.37,0.49,0.16,0.94,0.69,0.12
opentibia.csv,0.7,0.96,0.6,0.71,0.31,0.75,0.49,0.24,0.5,0.33,0.11,1.0,0.63,0.0
projectfactory.csv,0.75,1.0,0.51,0.33,0.43,0.67,0.45,0.41,0.35,0.56,0.19,0.94,0.81,0.16
runuomondains.csv,0.83,0.97,0.53,0.36,0.29,0.57,0.44,0.38,0.41,0.47,0.39,0.97,0.62,0.07
somap.csv,0.63,0.87,0.46,0.63,0.37,0.57,0.5,0.12,0.26,0.45,0.13,1.0,0.63,0.1
taverna.csv,0.81,0.94,0.49,0.46,0.58,0.58,0.51,0.08,0.38,0.56,0.36,0.97,0.8,0.0
unbvision.csv,0.77,0.95,0.58,0.38,0.26,0.56,0.4,0.12,0.5,0.55,0.17,0.91,0.76,0.09
x-ray-mule.csv,0.6,1.0,0.4,0.79,0.32,0.0,0.0,0.5,0.24,0.48,0.0,0.94,0.75,0.2
