,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.96,0.67,0.61,0.68,0.54,0.84,0.05,0.77,0.67,0.61,0.78,0.78
bscwweasel.csv,1.0,1.0,0.8,0.1,0.86,0.92,1.0,0.95,0.96,0.92,0.67,1.0
capcode.csv,0.96,0.8,0.71,0.86,1.0,0.17,0.67,0.87,0.78,0.8,1.0,0.91
emite.csv,0.92,0.97,0.53,0.84,0.79,0.77,0.71,0.9,0.81,0.75,0.7,0.0
lamp.csv,0.98,0.14,0.8,0.85,0.49,0.82,0.84,0.95,0.57,0.65,0.7,0.97
mecat.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0,1.0
nodal.csv,0.98,0.75,0.61,0.82,0.59,0.82,0.59,0.92,0.0,0.64,0.68,0.58
pydev.csv,0.94,0.8,0.54,0.77,0.45,0.7,0.72,0.78,0.9,0.11,0.62,0.75
retromenu.csv,0.86,0.81,0.6,0.75,0.0,0.65,0.9,0.85,0.82,0.48,0.67,0.97
smbopensoft.csv,0.05,0.46,0.61,0.81,0.64,0.88,0.74,0.79,0.71,0.76,0.56,0.88
stuproa-cims.csv,0.99,0.43,0.81,0.68,0.87,0.6,0.79,0.11,0.81,0.68,0.82,0.87
thout.csv,0.85,0.79,0.07,0.77,0.89,0.83,0.76,0.76,0.73,0.81,0.78,0.83
