,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.83,0.6,0.65,0.52,0.55,0.5,0.46,0.46,0.44,0.54,0.39,0.41
bscwweasel.csv,0.0,0.0,0.93,0.94,0.75,0.5,0.5,0.86,0.0,0.67,0.5,0.0
capcode.csv,0.86,0.8,0.68,0.96,0.0,0.9,0.72,0.91,0.51,0.51,0.8,0.93
emite.csv,0.95,0.43,0.58,0.89,0.67,0.66,0.5,0.97,0.84,0.66,0.79,0.55
lamp.csv,0.5,0.92,0.95,0.91,0.48,0.54,0.94,0.8,0.81,0.71,0.69,0.67
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.67,0.0
nodal.csv,0.75,0.41,0.62,0.79,0.67,0.5,0.7,0.97,0.74,0.53,0.88,0.67
pydev.csv,0.89,0.95,0.56,0.77,0.35,0.52,0.45,0.48,0.43,0.64,0.42,0.7
retromenu.csv,0.94,0.68,0.68,0.93,0.52,0.48,0.93,0.9,0.65,0.4,0.86,0.5
smbopensoft.csv,0.44,0.63,0.62,0.94,0.59,0.73,0.49,0.71,0.88,0.62,0.45,0.89
stuproa-cims.csv,0.27,0.62,0.57,0.52,0.35,0.4,0.69,0.82,0.33,0.4,0.35,0.54
thout.csv,0.96,0.6,0.72,0.7,0.39,0.44,0.62,0.48,0.69,0.48,0.4,0.45
