,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.75,0.36,0.86,0.43
mcore3d.csv,0.72,0.34,0.86,0.6
projecteqemu.csv,0.6,0.54,0.71,0.69
xbplayer.csv,0.51,0.63,0.69,0.56
