,mcore3d.csv,xbplayer.csv,genecys.csv,projecteqemu.csv
genecys.csv,0.8,0.45,0.81,0.42
mcore3d.csv,0.68,0.24,0.82,0.72
projecteqemu.csv,0.5,0.83,0.58,0.72
xbplayer.csv,0.37,0.79,0.53,0.53
