,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.62,0.0,0.09,0.55,0.41,0.63,0.99,0.47
forester-atv.csv,0.16,0.07,0.64,0.97,0.29,0.04,0.2,0.4
google-collections.csv,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.3
jsecurity.csv,0.3,0.19,0.06,0.5,0.21,0.93,0.18,0.59
opensim4opencog.csv,0.01,0.0,0.02,0.42,0.26,0.32,0.5,1.0
paintown.csv,1.0,0.43,0.38,0.6,0.63,0.53,0.4,0.5
smbopensoft.csv,0.47,0.57,0.95,0.65,0.52,0.65,0.32,0.39
thout.csv,0.45,0.0,0.12,0.62,0.96,0.3,0.54,0.51
