,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.63,0.93,0.54,0.57,0.38,0.34,1.0,0.2
forester-atv.csv,0.21,0.12,0.63,0.98,0.33,0.05,0.29,0.3
google-collections.csv,0.66,1.0,0.66,0.53,0.37,0.32,0.94,0.22
jsecurity.csv,0.33,0.28,0.09,0.43,0.23,0.95,0.25,0.22
opensim4opencog.csv,0.03,0.71,0.04,0.44,0.16,0.26,0.62,1.0
paintown.csv,1.0,0.55,0.46,0.55,0.47,0.38,0.52,0.21
smbopensoft.csv,0.51,0.68,0.95,0.57,0.36,0.42,0.43,0.2
thout.csv,0.5,0.67,0.16,0.56,0.97,0.21,0.68,0.2
