,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.38,0.15,0.17,0.16,0.05,0.37,0.4,0.46,0.05,0.26,0.12,0.12,0.14,0.36,0.1
e-bio-flow.csv,0.11,0.29,0.34,0.18,0.06,0.31,0.48,0.63,0.29,0.44,0.18,0.28,0.11,0.69,0.07
emono.csv,0.33,0.31,0.17,0.16,0.06,0.34,0.24,0.43,0.04,0.19,0.11,0.61,0.04,0.75,0.13
jas.csv,0.22,0.42,0.0,0.28,0.02,0.32,0.48,0.42,0.09,0.27,0.17,0.61,0.45,0.43,0.0
jbpm.csv,0.15,0.15,0.0,0.56,0.0,0.15,0.18,0.2,0.0,0.09,0.0,0.04,0.0,0.0,0.2
jgossipforum.csv,0.2,0.43,0.2,0.1,0.0,0.43,0.28,0.4,0.38,0.47,0.18,0.61,0.0,0.47,0.25
jmonkeyengine.csv,0.22,0.51,0.09,0.27,0.02,0.49,0.65,0.41,0.03,0.21,0.17,0.65,0.09,0.71,0.07
joustsim.csv,0.25,0.31,0.23,0.35,0.03,0.44,0.46,0.41,0.12,0.69,0.14,0.71,0.21,0.62,0.32
log4net.csv,0.36,0.25,0.34,0.17,0.29,0.12,0.0,0.41,0.0,0.44,0.25,0.22,0.0,0.44,0.06
ngl.csv,0.29,0.44,0.3,0.28,0.05,0.44,0.39,0.58,0.07,0.42,0.16,0.67,0.15,0.59,0.1
piccolo2d.csv,0.27,0.42,0.47,0.18,0.17,0.18,0.35,0.49,0.0,0.37,0.21,0.37,0.0,0.25,0.09
pustefix.csv,0.06,0.38,0.21,0.28,0.04,0.56,0.52,0.4,0.06,0.13,0.12,0.53,0.11,0.64,0.06
reaper3d.csv,0.28,0.44,0.19,0.14,0.05,0.31,0.24,0.49,0.07,0.34,0.31,0.55,0.36,0.44,0.29
sblim.csv,0.14,0.62,0.19,0.33,0.0,0.48,0.38,0.44,0.0,0.45,0.07,0.69,0.14,0.72,0.15
thedata.csv,0.3,0.43,0.21,0.11,0.05,0.3,0.21,0.47,0.06,0.41,0.17,0.65,0.16,0.61,0.73
