,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.68,0.53,0.46,0.51,0.51,0.42,0.38,0.44,0.48,0.61,0.92,0.97,0.44,0.96,0.41
e-bio-flow.csv,0.59,0.6,0.57,0.48,0.47,0.89,0.82,0.45,0.5,0.86,0.47,0.89,0.9,0.44,0.42
emono.csv,0.46,0.56,0.49,0.48,0.64,0.53,0.68,0.59,0.48,0.53,0.59,0.53,0.57,0.55,0.55
jas.csv,0.63,0.61,0.86,0.61,0.53,0.87,0.8,0.61,0.54,0.75,0.75,0.46,0.78,0.59,0.75
jbpm.csv,0.82,0.8,0.5,0.74,0.67,0.75,0.75,0.91,0.0,0.73,0.0,0.75,0.92,0.0,0.83
jgossipforum.csv,0.47,0.46,0.86,0.81,0.75,0.45,0.61,0.5,0.95,0.83,0.41,0.44,0.67,0.5,0.92
jmonkeyengine.csv,0.57,0.58,0.72,0.64,0.62,0.53,0.75,0.52,0.6,0.94,0.49,0.51,0.7,0.47,0.38
joustsim.csv,0.5,0.43,0.57,0.49,0.53,0.39,0.38,0.47,0.57,0.61,0.39,0.46,0.53,0.48,0.76
log4net.csv,0.44,0.9,0.61,0.81,0.94,0.91,0.75,0.53,0.0,0.36,0.94,0.98,0.92,0.79,0.41
ngl.csv,0.37,0.44,0.35,0.44,0.46,0.4,0.48,0.35,0.53,0.38,0.37,0.45,0.47,0.45,0.37
piccolo2d.csv,0.4,0.53,0.5,0.61,0.8,0.91,0.62,0.52,0.0,0.43,0.91,0.61,0.83,0.81,0.53
pustefix.csv,0.75,0.64,0.57,0.68,0.67,0.65,0.44,0.57,0.76,0.8,0.55,0.53,0.46,0.55,0.59
reaper3d.csv,0.44,0.51,0.66,0.49,0.63,0.59,0.71,0.49,0.52,0.46,0.46,0.48,0.93,0.49,0.67
sblim.csv,0.5,0.56,0.6,0.97,0.93,0.46,0.71,0.36,0.7,0.73,0.95,0.47,0.71,0.44,0.37
thedata.csv,0.47,0.53,0.51,0.57,0.52,0.55,0.8,0.53,0.57,0.83,0.37,0.43,0.7,0.48,0.86
