,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.56,1.04,0.88,0.82,0.72,0.93,0.95,0.7,0.76,0.77,0.78,0.94,0.73,0.79,0.86
e-bio-flow.csv,0.93,0.7,0.53,0.78,0.55,0.79,0.62,0.42,0.8,0.64,0.56,0.83,0.88,0.91,0.84
emono.csv,0.87,0.81,0.89,0.95,0.68,0.82,0.83,0.8,0.86,1.02,0.78,0.84,1.07,0.47,0.68
jas.csv,0.79,0.51,1.0,0.53,0.88,0.75,0.57,0.68,0.46,0.82,0.67,0.58,0.19,0.82,1.0
jbpm.csv,0.89,0.91,1.0,0.27,1.0,0.91,0.89,0.88,1.0,0.92,1.0,0.98,1.01,1.0,0.75
jgossipforum.csv,0.86,0.51,0.85,0.88,1.02,0.62,0.77,0.69,0.07,0.64,0.63,0.54,1.0,0.7,0.53
jmonkeyengine.csv,0.87,0.4,0.92,0.56,0.92,0.55,0.4,0.75,0.8,0.77,0.69,0.61,0.79,0.88,0.95
joustsim.csv,0.77,0.91,0.69,0.45,0.79,0.87,0.59,0.7,0.34,0.16,0.88,0.6,0.48,0.76,0.27
log4net.csv,0.59,0.82,0.53,0.81,0.11,0.92,1.0,0.7,1.0,0.39,0.64,0.88,1.01,0.71,0.88
ngl.csv,0.84,0.55,0.74,0.66,0.79,0.79,0.63,0.7,0.54,0.42,0.72,0.48,0.62,0.83,0.91
piccolo2d.csv,0.75,0.55,0.32,0.75,0.36,0.88,0.7,0.59,1.0,0.52,0.76,0.76,1.0,0.86,0.8
pustefix.csv,0.98,0.58,0.72,0.58,0.77,0.43,0.47,0.69,0.66,0.91,0.75,0.64,0.75,0.68,0.86
reaper3d.csv,0.76,0.51,0.76,0.94,0.73,0.73,0.82,0.65,0.54,0.54,0.33,0.59,0.51,0.74,0.75
sblim.csv,0.89,0.28,0.76,0.71,1.01,0.59,0.69,0.72,1.04,0.55,0.89,0.89,0.77,0.96,0.73
thedata.csv,0.81,0.6,0.79,0.96,0.7,0.79,0.84,0.75,0.62,0.5,0.7,0.51,0.58,0.65,0.05
