,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.0,53.0,27.0,45.0,32.0,4.0,0.0,1.0,116.0,29.0,21.0,0.0,40.0,0.0,7.0
e-bio-flow.csv,7.0,31.0,10.0,34.0,23.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,3.0,0.0,23.0
emono.csv,5.0,0.0,33.0,1.0,55.0,4.0,1.0,1.0,147.0,34.0,22.0,0.0,10.0,0.0,10.0
jas.csv,3.0,0.0,94.0,6.0,57.0,2.0,0.0,6.0,57.0,1.0,9.0,0.0,0.0,2.0,65.0
jbpm.csv,1.0,2.0,94.0,0.0,133.0,0.0,1.0,5.0,224.0,10.0,107.0,0.0,124.0,121.0,5.0
jgossipforum.csv,10.0,12.0,4.0,12.0,133.0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,124.0,1.0,0.0
jmonkeyengine.csv,9.0,0.0,25.0,1.0,66.0,1.0,0.0,2.0,96.0,9.0,15.0,0.0,5.0,0.0,10.0
joustsim.csv,4.0,19.0,13.0,1.0,35.0,2.0,0.0,2.0,35.0,1.0,16.0,0.0,12.0,4.0,6.0
log4net.csv,0.0,2.0,8.0,9.0,5.0,2.0,67.0,5.0,224.0,3.0,10.0,3.0,124.0,0.0,28.0
ngl.csv,11.0,0.0,17.0,1.0,35.0,1.0,6.0,1.0,60.0,2.0,6.0,0.0,33.0,0.0,10.0
piccolo2d.csv,6.0,7.0,6.0,7.0,1.0,1.0,3.0,0.0,224.0,6.0,0.0,0.0,124.0,3.0,18.0
pustefix.csv,2.0,4.0,21.0,24.0,32.0,0.0,0.0,3.0,47.0,1.0,26.0,0.0,1.0,0.0,26.0
reaper3d.csv,0.0,0.0,6.0,1.0,8.0,0.0,1.0,0.0,69.0,2.0,1.0,0.0,4.0,3.0,0.0
sblim.csv,8.0,0.0,16.0,0.0,133.0,3.0,3.0,8.0,224.0,0.0,15.0,0.0,2.0,0.0,2.0
thedata.csv,2.0,0.0,30.0,1.0,31.0,1.0,0.0,1.0,100.0,6.0,25.0,0.0,37.0,0.0,0.0
