,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.58,0.29,0.44,0.46,0.58,0.33,0.24,0.55,0.57,0.55,0.29,0.09,0.62,0.28,0.46
e-bio-flow.csv,0.14,0.47,0.57,0.49,0.64,0.26,0.44,0.68,0.24,0.41,0.61,0.2,0.15,0.37,0.28
emono.csv,0.43,0.52,0.43,0.34,0.7,0.49,0.35,0.51,0.44,0.19,0.4,0.49,0.25,0.7,0.62
jas.csv,0.34,0.64,0.0,0.63,0.34,0.3,0.49,0.49,0.85,0.22,0.42,0.6,0.88,0.37,0.0
jbpm.csv,0.14,0.11,0.0,0.79,0.0,0.11,0.13,0.16,0.0,0.11,0.0,0.02,0.0,0.0,0.29
jgossipforum.csv,0.39,0.61,0.18,0.18,0.0,0.61,0.32,0.43,0.99,0.41,0.7,0.58,0.0,0.38,0.54
jmonkeyengine.csv,0.41,0.78,0.18,0.62,0.34,0.68,0.65,0.49,0.41,0.31,0.65,0.64,0.4,0.41,0.38
joustsim.csv,0.45,0.36,0.42,0.79,0.36,0.42,0.65,0.46,0.91,0.9,0.41,0.69,0.63,0.53,0.93
log4net.csv,0.57,0.21,0.57,0.25,0.98,0.11,0.0,0.46,0.0,0.73,0.43,0.18,0.0,0.35,0.28
ngl.csv,0.48,0.73,0.64,0.7,0.57,0.56,0.48,0.65,0.61,0.77,0.63,0.66,0.65,0.48,0.38
piccolo2d.csv,0.49,0.54,0.82,0.35,0.7,0.16,0.37,0.51,0.0,0.58,0.29,0.29,0.0,0.18,0.29
pustefix.csv,0.07,0.53,0.41,0.53,0.36,0.67,0.7,0.43,0.44,0.11,0.41,0.5,0.54,0.56,0.28
reaper3d.csv,0.51,0.71,0.35,0.39,0.37,0.39,0.31,0.59,0.71,0.57,0.84,0.48,0.55,0.36,0.29
sblim.csv,0.22,0.81,0.35,0.34,0.0,0.68,0.38,0.53,0.0,0.5,0.14,0.37,0.29,0.2,0.65
thedata.csv,0.51,0.73,0.51,0.35,0.58,0.43,0.25,0.56,0.67,0.59,0.64,0.63,0.61,0.54,0.99
