,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.56,0.32,0.54,0.5,0.67,0.78,0.89,0.6,0.8,0.73,0.25,0.07,0.88,0.24,0.75
e-bio-flow.csv,0.12,0.45,0.54,0.54,0.67,0.22,0.39,0.67,0.2,0.36,0.62,0.17,0.12,0.76,0.25
emono.csv,0.88,0.73,0.54,0.63,1.0,0.61,0.33,0.6,0.8,0.64,0.38,0.73,0.25,0.72,0.75
jas.csv,0.31,0.64,0.0,0.63,0.33,0.26,0.44,0.47,1.0,0.18,0.38,0.6,0.88,0.35,0.0
jbpm.csv,0.12,0.09,0.0,0.77,0.0,0.09,0.11,0.13,0.0,0.09,0.0,0.02,0.0,0.0,0.25
jgossipforum.csv,0.38,0.59,0.15,0.15,0.0,0.65,0.28,0.4,1.0,0.36,0.88,0.55,0.0,0.34,0.5
jmonkeyengine.csv,0.44,0.82,0.15,0.63,0.33,0.74,0.61,0.5,0.4,0.27,0.88,0.7,0.38,0.8,0.5
joustsim.csv,0.44,0.82,0.38,0.88,0.33,0.96,0.72,0.43,1.0,0.91,0.88,0.82,0.62,0.6,1.0
log4net.csv,0.56,0.18,0.54,0.21,1.0,0.09,0.0,0.43,0.0,0.73,0.38,0.15,0.0,0.3,0.25
ngl.csv,0.69,0.86,1.0,0.96,1.0,0.87,0.44,0.9,0.6,0.82,0.88,0.65,0.75,0.57,0.75
piccolo2d.csv,0.5,0.5,0.85,0.31,0.67,0.13,0.33,0.47,0.0,0.55,0.25,0.25,0.0,0.15,0.25
pustefix.csv,0.06,0.5,0.38,0.5,0.33,0.65,0.72,0.4,0.4,0.09,0.38,0.47,0.62,0.6,0.25
reaper3d.csv,0.56,0.77,0.31,0.5,0.33,0.35,0.28,0.63,0.8,0.55,0.88,0.44,0.5,0.32,0.25
sblim.csv,0.19,0.82,0.31,0.29,0.0,0.78,0.33,0.57,0.0,0.45,0.12,0.93,0.25,0.85,1.0
thedata.csv,0.69,0.91,0.62,0.37,0.67,0.43,0.22,0.67,0.8,0.55,0.88,0.63,0.62,0.54,1.0
