,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv
array4j.csv,0.29,0.1,0.1,0.09,0.02,0.24,0.25,0.38,0.02,0.16,0.08,0.37,0.08,0.7,0.06
e-bio-flow.csv,0.09,0.21,0.25,0.11,0.03,0.56,0.64,0.61,0.5,0.57,0.11,0.77,0.1,0.62,0.04
emono.csv,0.21,0.2,0.1,0.09,0.03,0.24,0.19,0.33,0.02,0.11,0.06,0.52,0.02,0.78,0.07
jas.csv,0.17,0.32,0.0,0.18,0.01,0.4,0.53,0.39,0.05,0.5,0.11,0.62,0.3,0.57,0.0
jbpm.csv,0.18,0.4,0.0,0.44,0.0,0.5,0.5,0.36,0.0,0.09,0.0,1.0,0.0,0.0,0.17
jgossipforum.csv,0.14,0.33,0.29,0.08,0.0,0.32,0.28,0.4,0.24,0.67,0.1,0.69,0.0,0.75,0.17
jmonkeyengine.csv,0.14,0.38,0.06,0.17,0.01,0.36,0.69,0.34,0.02,0.17,0.09,0.61,0.05,0.64,0.04
joustsim.csv,0.18,0.19,0.17,0.22,0.02,0.29,0.33,0.38,0.06,0.56,0.07,0.62,0.12,0.64,0.19
log4net.csv,0.26,0.4,0.25,0.14,0.17,0.18,0.0,0.38,0.0,0.32,0.19,0.45,0.0,0.83,0.03
ngl.csv,0.18,0.3,0.18,0.17,0.03,0.29,0.35,0.43,0.04,0.28,0.09,0.7,0.08,0.61,0.05
piccolo2d.csv,0.19,0.37,0.32,0.13,0.1,0.27,0.38,0.52,0.0,0.29,0.18,0.68,0.0,0.75,0.05
pustefix.csv,0.05,0.31,0.14,0.19,0.02,0.48,0.41,0.4,0.03,0.2,0.07,0.6,0.06,0.68,0.04
reaper3d.csv,0.19,0.31,0.14,0.08,0.02,0.28,0.21,0.4,0.04,0.25,0.19,0.74,0.29,0.67,0.33
sblim.csv,0.12,0.5,0.13,0.38,0.0,0.35,0.43,0.36,0.0,0.45,0.05,0.55,0.1,0.63,0.08
thedata.csv,0.19,0.29,0.12,0.06,0.02,0.23,0.2,0.36,0.03,0.33,0.09,0.67,0.09,0.69,0.57
