,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.63,0.66,0.57,0.73
jhotdraw.csv,0.13,0.6,0.26,0.62
pokeglobal.csv,0.69,0.24,0.52,0.66
unflobtactical.csv,0.67,0.66,0.75,0.64
