,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.66,0.66,0.8,0.78
jhotdraw.csv,0.9,0.56,0.23,0.76
pokeglobal.csv,0.68,0.98,0.77,0.69
unflobtactical.csv,0.71,0.79,0.77,0.72
