,pokeglobal.csv,jhotdraw.csv,unflobtactical.csv,cascading.csv
cascading.csv,0.59,0.47,0.76,0.48
jhotdraw.csv,0.97,0.46,0.88,0.68
pokeglobal.csv,0.42,0.94,0.8,0.55
unflobtactical.csv,0.54,0.64,0.38,0.61
