,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.35,0.45,0.89,0.32,0.47,0.38,0.48,0.4,0.42,0.4,0.47,0.44,0.4,0.41,0.48,0.36
elateportal.csv,0.33,0.57,0.43,0.38,0.41,0.45,0.42,0.38,0.36,0.38,0.42,0.3,0.39,0.44,0.54,0.38
gmerlin.csv,0.59,0.56,0.7,0.59,0.97,0.88,0.92,0.71,0.66,0.91,0.98,0.8,0.85,0.66,0.82,0.62
gretl.csv,0.32,0.42,0.48,0.44,0.45,0.47,0.46,0.37,0.4,0.36,0.45,0.34,0.39,0.45,0.54,0.43
illumination.csv,0.9,0.96,0.7,0.79,0.55,0.61,0.56,0.67,0.71,0.88,0.62,0.32,0.93,0.51,0.63,0.74
mpgravity.csv,0.38,0.52,0.8,0.4,0.6,0.52,0.74,0.45,0.54,0.56,0.52,0.33,0.4,0.5,0.64,0.45
nativeclient.csv,0.33,0.47,0.42,0.39,0.51,0.61,0.57,0.38,0.49,0.38,0.49,0.78,0.45,0.46,0.57,0.42
natpad.csv,0.4,0.57,0.88,0.54,0.65,0.53,0.56,0.46,0.46,0.6,0.5,0.33,0.5,0.5,0.63,0.55
ogre.csv,0.33,0.39,0.38,0.44,0.43,0.48,0.41,0.36,0.37,0.35,0.4,0.3,0.39,0.45,0.5,0.43
open-ms.csv,0.52,0.55,0.43,0.75,0.5,0.8,0.58,0.58,0.62,0.67,0.9,0.31,0.67,0.98,0.91,0.72
openmsx.csv,0.5,0.52,0.68,0.92,0.59,0.48,0.67,0.88,0.61,0.61,0.65,0.5,0.58,0.78,0.8,0.97
oppna-program-hsatools.csv,0.68,0.42,0.38,0.36,0.41,0.45,0.51,0.33,0.38,0.38,0.39,0.31,0.41,0.4,0.49,0.43
sandiaportals.csv,0.33,0.51,0.88,0.43,0.75,0.45,0.61,0.57,0.54,0.55,0.51,0.33,0.43,0.91,0.64,0.44
sauerbraten.csv,0.39,0.72,0.67,0.43,0.89,0.89,0.95,0.9,0.45,0.89,0.89,0.79,0.51,0.48,0.97,0.58
yarp.csv,0.68,0.89,0.91,0.95,0.84,0.67,0.75,0.57,0.71,0.92,0.84,0.0,0.85,0.97,0.97,0.74
zemljanka.csv,0.33,0.4,0.4,0.44,0.39,0.46,0.42,0.32,0.36,0.35,0.4,0.3,0.4,0.45,0.5,0.43
